set;number;no_foil;foil
pncc;11p;false;false
pncc;12p;false;false
pncc;13p;false;false
pncc;14p;false;false
pncc;15p;false;false
pncc;16p;false;false
pncc;17p;false;false
pncc;18p;false;false
pncc;19p;false;false
pncc;20p;false;false
pncc;21p;false;false
pncc;22p;false;false
pncc;23p;false;false
pncc;24p;false;false
pncc;25p;false;false
pncc;26p;false;false
pncc;27p;false;false
pncc;28p;false;false
pncc;29p;false;false
pncc;30p;false;false
pncc;31p;false;false
pncc;32p;false;false
pncc;33p;false;false
pncc;34p;false;false
pncc;35p;false;false
pncc;36p;false;false
pncc;37p;false;false
pncc;38p;false;false
pncc;39p;false;false
pncc;40p;false;false
pncc;41p;false;false
pncc;42p;false;false
pncc;43p;false;false
pncc;44p;false;false
pncc;45p;false;false
pncc;46p;false;false
pncc;47p;false;false
pncc;48p;false;false
pncc;49p;false;false
pncc;50p;false;false
pncc;51p;false;false
pncc;52p;false;false
pncc;53p;false;false
pncc;54p;false;false
pncc;55p;false;false
pncc;56p;false;false
pncc;57p;false;false
pncc;58p;false;false
pncc;59p;false;false
pncc;60p;false;false
pncc;61p;false;false
pncc;62p;false;false
pncc;63p;false;false
pncc;64p;false;false
pncc;65p;false;false
pncc;66p;false;false
pncc;67p;false;false
pncc;68p;false;false
pncc;69p;false;false
pncc;70p;false;false
pncc;71p;false;false
pncc;72p;false;false
pncc;73p;false;false
pncc;74p;false;false
pncc;75p;false;false
pncc;76p;false;false
pncc;77p;false;false
pncc;78p;false;false
pncc;79p;false;false
pncc;80p;false;false
pncc;81p;false;false
pncc;82p;false;false
pncc;83p;false;false
pncc;84p;false;false
pncc;85p;false;false
