set;number;no_foil;foil
pneo;101p;false;false
pneo;101s;false;false
pneo;102p;false;false
pneo;102s;false;false
pneo;111p;false;false
pneo;111s;false;false
pneo;113p;false;false
pneo;113s;false;false
pneo;114p;false;false
pneo;114s;false;false
pneo;122p;false;false
pneo;122s;false;false
pneo;123p;false;false
pneo;123s;false;false
pneo;124s;false;false
pneo;134p;false;false
pneo;134s;false;false
pneo;13p;false;false
pneo;13s;false;false
pneo;140p;false;false
pneo;140s;false;false
pneo;141s;false;false
pneo;145p;false;false
pneo;145s;false;false
pneo;145★;false;false
pneo;147p;false;false
pneo;147s;false;false
pneo;153p;false;false
pneo;153s;false;false
pneo;154p;false;false
pneo;154s;false;false
pneo;155p;false;false
pneo;155s;false;false
pneo;159p;false;false
pneo;159s;false;false
pneo;166p;false;false
pneo;166s;false;false
pneo;181s;false;false
pneo;193p;false;false
pneo;193s;false;false
pneo;194s;false;false
pneo;197p;false;false
pneo;197s;false;false
pneo;199p;false;false
pneo;199s;false;false
pneo;200p;false;false
pneo;200s;false;false
pneo;201p;false;false
pneo;201s;false;false
pneo;206p;false;false
pneo;206s;false;false
pneo;208p;false;false
pneo;208s;false;false
pneo;212s;false;false
pneo;213p;false;false
pneo;213s;false;false
pneo;217p;false;false
pneo;217s;false;false
pneo;21p;false;false
pneo;21s;false;false
pneo;220p;false;false
pneo;220s;false;false
pneo;221s;false;false
pneo;222p;false;false
pneo;222s;false;false
pneo;224p;false;false
pneo;224s;false;false
pneo;226p;false;false
pneo;226s;false;false
pneo;227s;false;false
pneo;228p;false;false
pneo;228s;false;false
pneo;232p;false;false
pneo;232s;false;false
pneo;232★;false;false
pneo;233p;false;false
pneo;233s;false;false
pneo;234p;false;false
pneo;234s;false;false
pneo;235p;false;false
pneo;235s;false;false
pneo;237p;false;false
pneo;237s;false;false
pneo;238p;false;false
pneo;238s;false;false
pneo;23p;false;false
pneo;23s;false;false
pneo;245p;false;false
pneo;245s;false;false
pneo;249p;false;false
pneo;249s;false;false
pneo;250p;false;false
pneo;250s;false;false
pneo;255p;false;false
pneo;255s;false;false
pneo;25p;false;false
pneo;25s;false;false
pneo;260p;false;false
pneo;260s;false;false
pneo;266p;false;false
pneo;266s;false;false
pneo;268p;false;false
pneo;268s;false;false
pneo;26p;false;false
pneo;26s;false;false
pneo;271p;false;false
pneo;271s;false;false
pneo;276p;false;false
pneo;276s;false;false
pneo;278p;false;false
pneo;278s;false;false
pneo;28p;false;false
pneo;28s;false;false
pneo;2p;false;false
pneo;2s;false;false
pneo;34s;false;false
pneo;404p;false;false
pneo;42p;false;false
pneo;42s;false;false
pneo;57s;false;false
pneo;58p;false;false
pneo;58s;false;false
pneo;59p;false;false
pneo;59s;false;false
pneo;60p;false;false
pneo;60s;false;false
pneo;61p;false;false
pneo;61s;false;false
pneo;62p;false;false
pneo;62s;false;false
pneo;74p;false;false
pneo;74s;false;false
pneo;7p;false;false
pneo;7s;false;false
pneo;82p;false;false
pneo;82s;false;false
pneo;84p;false;false
pneo;84s;false;false
pneo;86p;false;false
pneo;86s;false;false
pneo;88p;false;false
pneo;88s;false;false
pneo;89p;false;false
pneo;89s;false;false
pneo;8p;false;false
pneo;8s;false;false
pneo;99p;false;false
pneo;99s;false;false
