set;number;no_foil;foil
pogw;1s;false;false
pogw;2s;false;false
pogw;3;false;false
pogw;13s;false;false
pogw;16s;false;false
pogw;19s;false;false
pogw;25s;false;false
pogw;29s;false;false
pogw;30s;false;false
pogw;37s;false;false
pogw;3s;false;false
pogw;43s;false;false
pogw;44s;false;false
pogw;4s;false;false
pogw;53s;false;false
pogw;57s;false;false
pogw;60s;false;false
pogw;61s;false;false
pogw;63s;false;false
pogw;67s;false;false
pogw;68s;false;false
pogw;6s;false;false
pogw;77s;false;false
pogw;7s;false;false
pogw;89s;false;false
pogw;9s;false;false
pogw;20;false;false
pogw;29;false;false
pogw;43;false;false
pogw;68;false;false
pogw;104s;false;false
pogw;109s;false;false
pogw;110s;false;false
pogw;113s;false;false
pogw;119s;false;false
pogw;126s;false;false
pogw;132s;false;false
pogw;138s;false;false
pogw;144s;false;false
pogw;147s;false;false
pogw;155s;false;false
pogw;156s;false;false
pogw;166s;false;false
pogw;171s;false;false
pogw;175s;false;false
pogw;177s;false;false
pogw;96s;false;false
pogw;98s;false;false
pogw;110;false;false
pogw;119;false;false
pogw;125s;false;false
pogw;132;false;false
pogw;138p;false;false
pogw;140s;false;false
pogw;147p;false;false
pogw;151s;false;false
pogw;155;false;false
pogw;162s;false;false
pogw;169s;false;false
pogw;174s;false;false
pogw;176s;false;false
pogw;182s;false;false
pogw;72s;false;false
pogw;84s;false;false
pogw;86s;false;false
