set;number;no_foil;foil
pone;104p;false;false
pone;104s;false;false
pone;105p;false;false
pone;105s;false;false
pone;10p;false;false
pone;10s;false;false
pone;114p;false;false
pone;114s;false;false
pone;115p;false;false
pone;115s;false;false
pone;118p;false;false
pone;118s;false;false
pone;11p;false;false
pone;11s;false;false
pone;125p;false;false
pone;125s;false;false
pone;128p;false;false
pone;128s;false;false
pone;138p;false;false
pone;138s;false;false
pone;145p;false;false
pone;145s;false;false
pone;149p;false;false
pone;149s;false;false
pone;150p;false;false
pone;150s;false;false
pone;153p;false;false
pone;153s;false;false
pone;154p;false;false
pone;154s;false;false
pone;159p;false;false
pone;159s;false;false
pone;163p;false;false
pone;163s;false;false
pone;166p;false;false
pone;166s;false;false
pone;169p;false;false
pone;169s;false;false
pone;175p;false;false
pone;175s;false;false
pone;186p;false;false
pone;186s;false;false
pone;189p;false;false
pone;189s;false;false
pone;192p;false;false
pone;192s;false;false
pone;195p;false;false
pone;195s;false;false
pone;196p;false;false
pone;196s;false;false
pone;19p;false;false
pone;19s;false;false
pone;201p;false;false
pone;201s;false;false
pone;202p;false;false
pone;202s;false;false
pone;203p;false;false
pone;203s;false;false
pone;204p;false;false
pone;204s;false;false
pone;205p;false;false
pone;205s;false;false
pone;206p;false;false
pone;206s;false;false
pone;207p;false;false
pone;207s;false;false
pone;208p;false;false
pone;208s;false;false
pone;209p;false;false
pone;209s;false;false
pone;210p;false;false
pone;210s;false;false
pone;211p;false;false
pone;211s;false;false
pone;213p;false;false
pone;213s;false;false
pone;214p;false;false
pone;214s;false;false
pone;218p;false;false
pone;218s;false;false
pone;219p;false;false
pone;219s;false;false
pone;222p;false;false
pone;222s;false;false
pone;227p;false;false
pone;227s;false;false
pone;229p;false;false
pone;229s;false;false
pone;232p;false;false
pone;232s;false;false
pone;233p;false;false
pone;233s;false;false
pone;23p;false;false
pone;23s;false;false
pone;241p;false;false
pone;241s;false;false
pone;242p;false;false
pone;242s;false;false
pone;244p;false;false
pone;244s;false;false
pone;245p;false;false
pone;245s;false;false
pone;246p;false;false
pone;246s;false;false
pone;248p;false;false
pone;248s;false;false
pone;249p;false;false
pone;249s;false;false
pone;24p;false;false
pone;24s;false;false
pone;250p;false;false
pone;250s;false;false
pone;254p;false;false
pone;254s;false;false
pone;255p;false;false
pone;255s;false;false
pone;256p;false;false
pone;256s;false;false
pone;257p;false;false
pone;257s;false;false
pone;258p;false;false
pone;258s;false;false
pone;259p;false;false
pone;259s;false;false
pone;27p;false;false
pone;27s;false;false
pone;33p;false;false
pone;33s;false;false
pone;34p;false;false
pone;34s;false;false
pone;38p;false;false
pone;38s;false;false
pone;42p;false;false
pone;42s;false;false
pone;43p;false;false
pone;43s;false;false
pone;47p;false;false
pone;47s;false;false
pone;56p;false;false
pone;56s;false;false
pone;57p;false;false
pone;57s;false;false
pone;61p;false;false
pone;61s;false;false
pone;63p;false;false
pone;63s;false;false
pone;71p;false;false
pone;71s;false;false
pone;75p;false;false
pone;75s;false;false
pone;82p;false;false
pone;82s;false;false
pone;84p;false;false
pone;84s;false;false
pone;90p;false;false
pone;90s;false;false
pone;95p;false;false
pone;95s;false;false
pone;98p;false;false
pone;98s;false;false
