set;number;no_foil;foil
pori;14s;false;false
pori;19;false;false
pori;19s;false;false
pori;21s;false;false
pori;23s;false;false
pori;24s;false;false
pori;29;false;false
pori;101s;false;false
pori;104s;false;false
pori;105s;false;false
pori;106s;false;false
pori;112s;false;false
pori;127s;false;false
pori;137s;false;false
pori;143s;false;false
pori;157s;false;false
pori;160s;false;false
pori;172s;false;false
pori;176s;false;false
pori;182s;false;false
pori;186s;false;false
pori;191s;false;false
pori;193s;false;false
pori;29s;false;false
pori;38s;false;false
pori;40s;false;false
pori;43;false;false
pori;43s;false;false
pori;58s;false;false
pori;60s;false;false
pori;61p;false;false
pori;64;false;false
pori;135s;false;false
pori;141s;false;false
pori;151s;false;false
pori;177s;false;false
pori;186p;false;false
pori;189s;false;false
pori;193★;false;false
pori;240p;false;false
pori;64s;false;false
pori;75s;false;false
pori;78s;false;false
pori;79s;false;false
pori;84s;false;false
pori;90p;false;false
pori;90s;false;false
pori;93s;false;false
pori;99s;false;false
pori;104;false;false
pori;105;false;false
pori;157;false;false
pori;171;false;false
pori;172;false;false
