set;number;no_foil;foil
potj;104p;false;false
potj;104s;false;false
potj;108p;false;false
potj;108s;false;false
potj;109p;false;false
potj;109s;false;false
potj;113p;false;false
potj;113s;false;false
potj;116p;false;false
potj;116s;false;false
potj;11p;false;false
potj;11s;false;false
potj;125p;false;false
potj;125s;false;false
potj;126p;false;false
potj;126s;false;false
potj;128p;false;false
potj;128s;false;false
potj;12p;false;false
potj;12s;false;false
potj;133p;false;false
potj;133s;false;false
potj;146p;false;false
potj;146s;false;false
potj;147p;false;false
potj;147s;false;false
potj;149p;false;false
potj;149s;false;false
potj;157p;false;false
potj;157s;false;false
potj;159p;false;false
potj;159s;false;false
potj;15p;false;false
potj;15s;false;false
potj;163p;false;false
potj;163s;false;false
potj;167p;false;false
potj;167s;false;false
potj;171p;false;false
potj;171s;false;false
potj;173p;false;false
potj;173s;false;false
potj;175p;false;false
potj;175s;false;false
potj;180p;false;false
potj;180s;false;false
potj;189p;false;false
potj;189s;false;false
potj;190p;false;false
potj;190s;false;false
potj;191p;false;false
potj;191s;false;false
potj;192p;false;false
potj;192s;false;false
potj;196p;false;false
potj;196s;false;false
potj;197p;false;false
potj;197s;false;false
potj;198p;false;false
potj;198s;false;false
potj;1p;false;false
potj;1s;false;false
potj;202p;false;false
potj;202s;false;false
potj;205p;false;false
potj;205s;false;false
potj;206p;false;false
potj;206s;false;false
potj;211p;false;false
potj;211s;false;false
potj;212p;false;false
potj;212s;false;false
potj;213p;false;false
potj;213s;false;false
potj;215p;false;false
potj;215s;false;false
potj;217p;false;false
potj;217s;false;false
potj;219p;false;false
potj;219s;false;false
potj;220p;false;false
potj;220s;false;false
potj;222p;false;false
potj;222s;false;false
potj;223p;false;false
potj;223s;false;false
potj;224p;false;false
potj;224s;false;false
potj;225p;false;false
potj;225s;false;false
potj;226p;false;false
potj;226s;false;false
potj;227p;false;false
potj;227s;false;false
potj;228p;false;false
potj;228s;false;false
potj;22p;false;false
potj;22s;false;false
potj;230p;false;false
potj;230s;false;false
potj;231p;false;false
potj;231s;false;false
potj;232p;false;false
potj;232s;false;false
potj;234p;false;false
potj;234s;false;false
potj;236p;false;false
potj;236s;false;false
potj;237p;false;false
potj;237s;false;false
potj;239p;false;false
potj;239s;false;false
potj;266p;false;false
potj;266s;false;false
potj;267p;false;false
potj;267s;false;false
potj;268p;false;false
potj;268s;false;false
potj;269p;false;false
potj;269s;false;false
potj;270p;false;false
potj;270s;false;false
potj;271p;false;false
potj;271s;false;false
potj;2p;false;false
potj;2s;false;false
potj;39p;false;false
potj;39s;false;false
potj;44p;false;false
potj;44s;false;false
potj;45p;false;false
potj;45s;false;false
potj;48p;false;false
potj;48s;false;false
potj;4p;false;false
potj;4s;false;false
potj;50p;false;false
potj;50s;false;false
potj;54p;false;false
potj;54s;false;false
potj;70p;false;false
potj;70s;false;false
potj;71p;false;false
potj;71s;false;false
potj;75p;false;false
potj;75s;false;false
potj;82p;false;false
potj;82s;false;false
potj;89p;false;false
potj;89s;false;false
potj;8p;false;false
potj;8s;false;false
potj;91p;false;false
potj;91s;false;false
potj;92p;false;false
potj;92s;false;false
potj;98p;false;false
potj;98s;false;false
potj;9p;false;false
potj;9s;false;false
