set;number;no_foil;foil
prix;100p;false;false
prix;100★;false;false
prix;111p;false;false
prix;111s;false;false
prix;115p;false;false
prix;115s;false;false
prix;121p;false;false
prix;121s;false;false
prix;127p;false;false
prix;127s;false;false
prix;16s;false;false
prix;18p;false;false
prix;18s;false;false
prix;22p;false;false
prix;22s;false;false
prix;24s;false;false
prix;28s;false;false
prix;29s;false;false
prix;2s;false;false
prix;30p;false;false
prix;30s;false;false
prix;31p;false;false
prix;31s;false;false
prix;33s;false;false
prix;40s;false;false
prix;42s;false;false
prix;45p;false;false
prix;45s;false;false
prix;46s;false;false
prix;51p;false;false
prix;51s;false;false
prix;53;false;false
prix;100s;false;false
prix;103s;false;false
prix;59s;false;false
prix;60p;false;false
prix;60s;false;false
prix;64s;false;false
prix;66s;false;false
prix;68p;false;false
prix;68s;false;false
prix;77p;false;false
prix;77s;false;false
prix;86p;false;false
prix;86s;false;false
prix;87s;false;false
prix;88p;false;false
prix;88s;false;false
prix;90p;false;false
prix;90s;false;false
prix;92p;false;false
prix;92s;false;false
prix;94;false;false
prix;94p;false;false
prix;94s;false;false
prix;99p;false;false
prix;99s;false;false
prix;130;false;false
prix;130p;false;false
prix;130s;false;false
prix;136p;false;false
prix;136s;false;false
prix;142p;false;false
prix;142s;false;false
prix;144s;false;false
prix;147p;false;false
prix;147s;false;false
prix;150p;false;false
prix;150s;false;false
prix;151p;false;false
prix;151s;false;false
prix;152s;false;false
prix;154s;false;false
prix;157s;false;false
prix;158s;false;false
prix;159s;false;false
prix;160s;false;false
prix;162s;false;false
prix;165s;false;false
prix;166s;false;false
prix;167s;false;false
prix;171p;false;false
prix;171s;false;false
prix;173s;false;false
prix;174p;false;false
prix;174s;false;false
prix;175s;false;false
prix;176s;false;false
prix;177;false;false
prix;177s;false;false
prix;179s;false;false
prix;180p;false;false
prix;180s;false;false
prix;182p;false;false
prix;182s;false;false
prix;185p;false;false
prix;185s;false;false
prix;186;false;false
