set;number;no_foil;foil
prm;205;false;false
prm;207;false;false
prm;209;false;false
prm;211;false;false
prm;213;false;false
prm;215;false;false
prm;217;false;false
prm;219;false;false
prm;221;false;false
prm;223;false;false
prm;225;false;false
prm;227;false;false
prm;229;false;false
prm;231;false;false
prm;233;false;false
prm;235;false;false
prm;237;false;false
prm;239;false;false
prm;241;false;false
prm;243;false;false
prm;245;false;false
prm;247;false;false
prm;249;false;false
prm;251;false;false
prm;253;false;false
prm;255;false;false
prm;257;false;false
prm;259;false;false
prm;261;false;false
prm;263;false;false
prm;265;false;false
prm;267;false;false
prm;269;false;false
prm;271;false;false
prm;273;false;false
prm;275;false;false
prm;277;false;false
prm;279;false;false
prm;281;false;false
prm;283;false;false
prm;285;false;false
prm;287;false;false
prm;289;false;false
prm;291;false;false
prm;293;false;false
prm;295;false;false
prm;297;false;false
prm;299;false;false
prm;302;false;false
prm;304;false;false
prm;306;false;false
prm;308;false;false
prm;310;false;false
prm;23946;false;false
prm;23948;false;false
prm;23950;false;false
prm;23952;false;false
prm;23954;false;false
prm;23956;false;false
prm;26584;false;false
prm;26980;false;false
prm;26982;false;false
prm;26984;false;false
prm;31375;false;false
prm;31377;false;false
prm;31379;false;false
prm;31381;false;false
prm;31383;false;false
prm;31385;false;false
prm;31387;false;false
prm;31389;false;false
prm;31391;false;false
prm;31393;false;false
prm;31395;false;false
prm;31397;false;false
prm;31399;false;false
prm;31401;false;false
prm;31403;false;false
prm;31405;false;false
prm;31407;false;false
prm;31409;false;false
prm;31411;false;false
prm;31413;false;false
prm;31415;false;false
prm;31417;false;false
prm;31419;false;false
prm;31421;false;false
prm;31423;false;false
prm;31425;false;false
prm;31427;false;false
prm;31429;false;false
prm;31431;false;false
prm;31433;false;false
prm;31435;false;false
prm;31437;false;false
prm;31439;false;false
prm;31441;false;false
prm;31443;false;false
prm;31445;false;false
prm;31447;false;false
prm;31449;false;false
prm;31451;false;false
prm;31453;false;false
prm;31455;false;false
prm;31457;false;false
prm;31459;false;false
prm;31461;false;false
prm;31467;false;false
prm;31469;false;false
prm;31471;false;false
