set;number;no_foil;foil
prna;106s;false;false
prna;108s;false;false
prna;109s;false;false
prna;114p;false;false
prna;11p;false;false
prna;11s;false;false
prna;122p;false;false
prna;124s;false;false
prna;124★;false;false
prna;128p;false;false
prna;128s;false;false
prna;130p;false;false
prna;130s;false;false
prna;131p;false;false
prna;131s;false;false
prna;134s;false;false
prna;151p;false;false
prna;151s;false;false
prna;157p;false;false
prna;157s;false;false
prna;15s;false;false
prna;22p;false;false
prna;27p;false;false
prna;27s;false;false
prna;29p;false;false
prna;29s;false;false
prna;32p;false;false
prna;32s;false;false
prna;42p;false;false
prna;45s;false;false
prna;55s;false;false
prna;61s;false;false
prna;74s;false;false
prna;76p;false;false
prna;76s;false;false
prna;83p;false;false
prna;83s;false;false
prna;85p;false;false
prna;92s;false;false
prna;99p;false;false
prna;107;false;false
prna;158s;false;false
prna;161p;false;false
prna;161s;false;false
prna;165p;false;false
prna;165s;false;false
prna;169s;false;false
prna;170s;false;false
prna;178;false;false
prna;179p;false;false
prna;179s;false;false
prna;183p;false;false
prna;183s;false;false
prna;185p;false;false
prna;185s;false;false
prna;186p;false;false
prna;187p;false;false
prna;187s;false;false
prna;189;false;false
prna;189s;false;false
prna;192;false;false
prna;193s;false;false
prna;197;false;false
prna;199s;false;false
prna;200s;false;false
prna;205p;false;false
prna;205s;false;false
prna;207;false;false
prna;207s;false;false
prna;212p;false;false
prna;212s;false;false
prna;213s;false;false
prna;214s;false;false
prna;221p;false;false
prna;232;false;false
prna;245p;false;false
prna;246p;false;false
prna;248p;false;false
prna;251p;false;false
prna;254p;false;false
prna;259p;false;false
