set;number;no_foil;foil
ps11;1;false;false
ps11;2;false;false
ps11;3;false;false
ps11;4;false;false
ps11;5;false;false
ps11;6;false;false
ps11;7;false;false
ps11;8;false;false
ps11;9;false;false
ps11;10;false;false
ps11;11;false;false
ps11;12;false;false
ps11;13;false;false
ps11;14;false;false
ps11;15;false;false
ps11;16;false;false
ps11;17;false;false
ps11;18;false;false
ps11;19;false;false
ps11;20;false;false
ps11;21;false;false
ps11;22;false;false
ps11;23;false;false
ps11;24;false;false
ps11;25;false;false
ps11;26;false;false
ps11;27;false;false
ps11;28;false;false
ps11;29;false;false
ps11;30;false;false
ps11;31;false;false
ps11;32;false;false
ps11;33;false;false
ps11;34;false;false
ps11;35;false;false
ps11;36;false;false
ps11;37;false;false
ps11;38;false;false
ps11;39;false;false
ps11;40;false;false
ps11;41;false;false
ps11;42;false;false
ps11;43;false;false
ps11;44;false;false
ps11;45;false;false
ps11;46;false;false
ps11;47;false;false
ps11;48;false;false
ps11;49;false;false
ps11;50;false;false
ps11;51;false;false
ps11;52;false;false
ps11;53;false;false
ps11;54;false;false
ps11;55;false;false
ps11;56;false;false
ps11;57;false;false
ps11;58;false;false
ps11;59;false;false
ps11;60;false;false
ps11;61;false;false
ps11;62;false;false
ps11;63;false;false
ps11;64;false;false
ps11;65;false;false
ps11;66;false;false
ps11;67;false;false
ps11;68;false;false
ps11;69;false;false
ps11;70;false;false
ps11;71;false;false
ps11;72;false;false
ps11;73;false;false
ps11;74;false;false
ps11;75;false;false
ps11;76;false;false
ps11;77;false;false
ps11;78;false;false
ps11;79;false;false
ps11;80;false;false
ps11;81;false;false
ps11;82;false;false
ps11;83;false;false
ps11;84;false;false
ps11;85;false;false
ps11;86;false;false
ps11;87;false;false
ps11;88;false;false
ps11;89;false;false
ps11;90;false;false
ps11;91;false;false
ps11;92;false;false
ps11;93;false;false
ps11;94;false;false
ps11;95;false;false
ps11;96;false;false
ps11;97;false;false
ps11;98;false;false
ps11;99;false;false
ps11;100;false;false
ps11;101;false;false
ps11;102;false;false
ps11;103;false;false
ps11;104;false;false
ps11;105;false;false
ps11;106;false;false
ps11;107;false;false
ps11;108;false;false
ps11;109;false;false
ps11;110;false;false
ps11;111;false;false
ps11;112;false;false
ps11;113;false;false
ps11;114;false;false
ps11;115;false;false
ps11;116;false;false
ps11;117;false;false
ps11;118;false;false
ps11;119;false;false
ps11;120;false;false
ps11;121;false;false
ps11;122;false;false
ps11;123;false;false
ps11;124;false;false
ps11;125;false;false
ps11;126;false;false
ps11;127;false;false
ps11;128;false;false
ps11;129;false;false
ps11;130;false;false
ps11;131;false;false
ps11;132;false;false
ps11;133;false;false
ps11;134;false;false
ps11;135;false;false
ps11;136;false;false
ps11;137;false;false
ps11;138;false;false
ps11;139;false;false
ps11;140;false;false
ps11;141;false;false
ps11;142;false;false
ps11;143;false;false
ps11;144;false;false
ps11;145;false;false
ps11;146;false;false
ps11;147;false;false
ps11;148;false;false
ps11;149;false;false
ps11;150;false;false
ps11;151;false;false
ps11;152;false;false
ps11;153;false;false
ps11;154;false;false
ps11;155;false;false
ps11;156;false;false
ps11;157;false;false
ps11;158;false;false
ps11;159;false;false
ps11;160;false;false
ps11;161;false;false
ps11;162;false;false
ps11;163;false;false
ps11;164;false;false
ps11;165;false;false
ps11;166;false;false
ps11;167;false;false
ps11;168;false;false
ps11;169;false;false
ps11;170;false;false
ps11;171;false;false
ps11;172;false;false
ps11;173;false;false
ps11;174;false;false
ps11;175;false;false
ps11;176;false;false
ps11;177;false;false
ps11;178;false;false
ps11;179;false;false
ps11;180;false;false
ps11;181;false;false
ps11;182;false;false
ps11;183;false;false
ps11;184;false;false
ps11;185;false;false
ps11;186;false;false
ps11;187;false;false
ps11;188;false;false
ps11;189;false;false
ps11;190;false;false
ps11;191;false;false
ps11;192;false;false
ps11;193;false;false
ps11;194;false;false
ps11;195;false;false
ps11;196;false;false
ps11;197;false;false
ps11;198;false;false
ps11;199;false;false
ps11;200;false;false
ps11;201;false;false
ps11;202;false;false
ps11;203;false;false
ps11;204;false;false
ps11;205;false;false
ps11;206;false;false
ps11;207;false;false
ps11;208;false;false
ps11;209;false;false
ps11;210;false;false
ps11;211;false;false
ps11;212;false;false
ps11;213;false;false
ps11;214;false;false
ps11;215;false;false
ps11;216;false;false
ps11;217;false;false
ps11;218;false;false
ps11;219;false;false
ps11;220;false;false
ps11;221;false;false
ps11;222;false;false
ps11;223;false;false
ps11;224;false;false
