set;number;no_foil;foil
psnc;101p;false;false
psnc;101s;false;false
psnc;105p;false;false
psnc;105s;false;false
psnc;109p;false;false
psnc;109s;false;false
psnc;10p;false;false
psnc;10s;false;false
psnc;112p;false;false
psnc;112s;false;false
psnc;116p;false;false
psnc;116s;false;false
psnc;11p;false;false
psnc;11s;false;false
psnc;126p;false;false
psnc;126s;false;false
psnc;129p;false;false
psnc;129s;false;false
psnc;12p;false;false
psnc;12s;false;false
psnc;130p;false;false
psnc;130s;false;false
psnc;134p;false;false
psnc;134s;false;false
psnc;144p;false;false
psnc;144s;false;false
psnc;145p;false;false
psnc;145s;false;false
psnc;148p;false;false
psnc;148s;false;false
psnc;14p;false;false
psnc;14s;false;false
psnc;159p;false;false
psnc;159s;false;false
psnc;15p;false;false
psnc;15s;false;false
psnc;160p;false;false
psnc;160s;false;false
psnc;162p;false;false
psnc;162s;false;false
psnc;165p;false;false
psnc;165s;false;false
psnc;166p;false;false
psnc;166s;false;false
psnc;167p;false;false
psnc;167s;false;false
psnc;170p;false;false
psnc;170s;false;false
psnc;172p;false;false
psnc;172s;false;false
psnc;179p;false;false
psnc;179s;false;false
psnc;183p;false;false
psnc;183s;false;false
psnc;184p;false;false
psnc;184s;false;false
psnc;186p;false;false
psnc;186s;false;false
psnc;188p;false;false
psnc;188s;false;false
psnc;191p;false;false
psnc;191s;false;false
psnc;192p;false;false
psnc;192s;false;false
psnc;193p;false;false
psnc;193s;false;false
psnc;195p;false;false
psnc;195s;false;false
psnc;197p;false;false
psnc;197s;false;false
psnc;198p;false;false
psnc;198s;false;false
psnc;200p;false;false
psnc;200s;false;false
psnc;202p;false;false
psnc;202s;false;false
psnc;206p;false;false
psnc;206s;false;false
psnc;207p;false;false
psnc;207s;false;false
psnc;209p;false;false
psnc;209s;false;false
psnc;210p;false;false
psnc;210s;false;false
psnc;211p;false;false
psnc;211s;false;false
psnc;211★;false;false
psnc;213p;false;false
psnc;213s;false;false
psnc;215p;false;false
psnc;215s;false;false
psnc;216p;false;false
psnc;216s;false;false
psnc;219p;false;false
psnc;219s;false;false
psnc;223p;false;false
psnc;223s;false;false
psnc;228p;false;false
psnc;228s;false;false
psnc;229p;false;false
psnc;229s;false;false
psnc;22p;false;false
psnc;22s;false;false
psnc;230p;false;false
psnc;230s;false;false
psnc;231p;false;false
psnc;231s;false;false
psnc;232p;false;false
psnc;232s;false;false
psnc;237p;false;false
psnc;237s;false;false
psnc;240p;false;false
psnc;240s;false;false
psnc;246p;false;false
psnc;246s;false;false
psnc;24p;false;false
psnc;24s;false;false
psnc;250p;false;false
psnc;250s;false;false
psnc;254p;false;false
psnc;254s;false;false
psnc;257p;false;false
psnc;257s;false;false
psnc;260p;false;false
psnc;260s;false;false
psnc;261p;false;false
psnc;261s;false;false
psnc;30p;false;false
psnc;30s;false;false
psnc;34p;false;false
psnc;34s;false;false
psnc;38p;false;false
psnc;38s;false;false
psnc;41p;false;false
psnc;41s;false;false
psnc;42p;false;false
psnc;42s;false;false
psnc;46p;false;false
psnc;46s;false;false
psnc;56p;false;false
psnc;56s;false;false
psnc;63p;false;false
psnc;63s;false;false
psnc;65p;false;false
psnc;65s;false;false
psnc;67p;false;false
psnc;67s;false;false
psnc;68p;false;false
psnc;68s;false;false
psnc;69p;false;false
psnc;69s;false;false
psnc;72p;false;false
psnc;72s;false;false
psnc;93p;false;false
psnc;93s;false;false
psnc;94p;false;false
psnc;94s;false;false
psnc;95p;false;false
psnc;95s;false;false
psnc;97p;false;false
psnc;97s;false;false
