set;number;no_foil;foil
psoi;1s;false;false
psoi;2;false;false
psoi;101s;false;false
psoi;107s;false;false
psoi;108s;false;false
psoi;109s;false;false
psoi;111s;false;false
psoi;122s;false;false
psoi;124s;false;false
psoi;12s;false;false
psoi;131s;false;false
psoi;139s;false;false
psoi;13s;false;false
psoi;141s;false;false
psoi;145s;false;false
psoi;148s;false;false
psoi;151s;false;false
psoi;155s;false;false
psoi;157s;false;false
psoi;15s;false;false
psoi;16p;false;false
psoi;16s;false;false
psoi;21s;false;false
psoi;2s;false;false
psoi;31s;false;false
psoi;43s;false;false
psoi;53s;false;false
psoi;58s;false;false
psoi;59s;false;false
psoi;5s;false;false
psoi;63s;false;false
psoi;65s;false;false
psoi;69s;false;false
psoi;8s;false;false
psoi;15;false;false
psoi;75;false;false
psoi;75s;false;false
psoi;81s;false;false
psoi;88s;false;false
psoi;92s;false;false
psoi;96s;false;false
psoi;99s;false;false
psoi;108;false;false
psoi;122;false;false
psoi;157;false;false
psoi;159s;false;false
psoi;162s;false;false
psoi;163s;false;false
psoi;166;false;false
psoi;175;false;false
psoi;179s;false;false
psoi;181s;false;false
psoi;192s;false;false
psoi;200s;false;false
psoi;202s;false;false
psoi;212s;false;false
psoi;225s;false;false
psoi;226s;false;false
psoi;227s;false;false
psoi;228s;false;false
psoi;230;false;false
psoi;230s;false;false
psoi;233s;false;false
psoi;234s;false;false
psoi;235s;false;false
psoi;241s;false;false
psoi;242;false;false
psoi;242p;false;false
psoi;242s;false;false
psoi;243s;false;false
psoi;244s;false;false
psoi;245s;false;false
psoi;246s;false;false
psoi;247s;false;false
psoi;248s;false;false
psoi;249s;false;false
psoi;250s;false;false
psoi;251s;false;false
psoi;252s;false;false
psoi;253s;false;false
psoi;264s;false;false
psoi;265s;false;false
psoi;270s;false;false
psoi;271s;false;false
psoi;272s;false;false
psoi;274s;false;false
psoi;276s;false;false
psoi;278s;false;false
psoi;281s;false;false
