set;number;no_foil;foil
ptdm;103p;false;false
ptdm;103s;false;false
ptdm;105p;false;false
ptdm;105s;false;false
ptdm;111p;false;false
ptdm;111s;false;false
ptdm;118p;false;false
ptdm;118s;false;false
ptdm;11p;false;false
ptdm;11s;false;false
ptdm;122p;false;false
ptdm;122s;false;false
ptdm;123p;false;false
ptdm;123s;false;false
ptdm;127p;false;false
ptdm;127s;false;false
ptdm;136p;false;false
ptdm;136s;false;false
ptdm;138p;false;false
ptdm;138s;false;false
ptdm;144p;false;false
ptdm;144s;false;false
ptdm;149p;false;false
ptdm;149s;false;false
ptdm;150p;false;false
ptdm;150s;false;false
ptdm;161p;false;false
ptdm;161s;false;false
ptdm;166p;false;false
ptdm;166s;false;false
ptdm;167p;false;false
ptdm;167s;false;false
ptdm;170p;false;false
ptdm;170s;false;false
ptdm;171p;false;false
ptdm;171s;false;false
ptdm;172p;false;false
ptdm;172s;false;false
ptdm;174p;false;false
ptdm;174s;false;false
ptdm;176p;false;false
ptdm;176s;false;false
ptdm;179p;false;false
ptdm;179s;false;false
ptdm;182p;false;false
ptdm;182s;false;false
ptdm;183p;false;false
ptdm;183s;false;false
ptdm;184p;false;false
ptdm;184s;false;false
ptdm;185p;false;false
ptdm;185s;false;false
ptdm;187p;false;false
ptdm;187s;false;false
ptdm;189p;false;false
ptdm;189s;false;false
ptdm;192p;false;false
ptdm;192s;false;false
ptdm;194p;false;false
ptdm;194s;false;false
ptdm;196p;false;false
ptdm;196s;false;false
ptdm;1p;false;false
ptdm;1s;false;false
ptdm;202p;false;false
ptdm;202s;false;false
ptdm;204p;false;false
ptdm;204s;false;false
ptdm;206p;false;false
ptdm;206s;false;false
ptdm;209p;false;false
ptdm;209s;false;false
ptdm;210p;false;false
ptdm;210s;false;false
ptdm;211p;false;false
ptdm;211s;false;false
ptdm;212p;false;false
ptdm;212s;false;false
ptdm;215p;false;false
ptdm;215s;false;false
ptdm;218p;false;false
ptdm;218s;false;false
ptdm;220p;false;false
ptdm;220s;false;false
ptdm;222p;false;false
ptdm;222s;false;false
ptdm;223p;false;false
ptdm;223s;false;false
ptdm;225p;false;false
ptdm;225s;false;false
ptdm;228p;false;false
ptdm;228s;false;false
ptdm;22p;false;false
ptdm;22s;false;false
ptdm;230p;false;false
ptdm;230s;false;false
ptdm;231p;false;false
ptdm;231s;false;false
ptdm;233p;false;false
ptdm;233s;false;false
ptdm;235p;false;false
ptdm;235s;false;false
ptdm;236p;false;false
ptdm;236s;false;false
ptdm;237p;false;false
ptdm;237s;false;false
ptdm;240p;false;false
ptdm;240s;false;false
ptdm;246p;false;false
ptdm;246s;false;false
ptdm;24p;false;false
ptdm;24s;false;false
ptdm;252p;false;false
ptdm;252s;false;false
ptdm;253p;false;false
ptdm;253s;false;false
ptdm;257p;false;false
ptdm;257s;false;false
ptdm;259p;false;false
ptdm;259s;false;false
ptdm;260p;false;false
ptdm;260s;false;false
ptdm;261p;false;false
ptdm;261s;false;false
ptdm;2p;false;false
ptdm;2s;false;false
ptdm;32p;false;false
ptdm;32s;false;false
ptdm;33p;false;false
ptdm;33s;false;false
ptdm;37p;false;false
ptdm;37s;false;false
ptdm;42p;false;false
ptdm;42s;false;false
ptdm;51p;false;false
ptdm;51s;false;false
ptdm;52p;false;false
ptdm;52s;false;false
ptdm;59p;false;false
ptdm;59s;false;false
ptdm;5p;false;false
ptdm;5s;false;false
ptdm;60p;false;false
ptdm;60s;false;false
ptdm;67p;false;false
ptdm;67s;false;false
ptdm;73p;false;false
ptdm;73s;false;false
ptdm;86p;false;false
ptdm;86s;false;false
ptdm;87p;false;false
ptdm;87s;false;false
ptdm;90p;false;false
ptdm;90s;false;false
ptdm;91p;false;false
ptdm;91s;false;false
ptdm;92p;false;false
ptdm;92s;false;false
ptdm;93p;false;false
ptdm;93s;false;false
