set;number;no_foil;foil
pthb;108p;false;false
pthb;108s;false;false
pthb;117p;false;false
pthb;117s;false;false
pthb;118p;false;false
pthb;118s;false;false
pthb;123p;false;false
pthb;123s;false;false
pthb;124p;false;false
pthb;124s;false;false
pthb;12p;false;false
pthb;12s;false;false
pthb;13p;false;false
pthb;13s;false;false
pthb;147p;false;false
pthb;147s;false;false
pthb;148p;false;false
pthb;148s;false;false
pthb;14p;false;false
pthb;14s;false;false
pthb;150p;false;false
pthb;150s;false;false
pthb;151p;false;false
pthb;151s;false;false
pthb;156p;false;false
pthb;156s;false;false
pthb;157p;false;false
pthb;157s;false;false
pthb;158p;false;false
pthb;158s;false;false
pthb;161p;false;false
pthb;161s;false;false
pthb;165p;false;false
pthb;165s;false;false
pthb;169p;false;false
pthb;169s;false;false
pthb;170p;false;false
pthb;170s;false;false
pthb;178p;false;false
pthb;178s;false;false
pthb;181p;false;false
pthb;181s;false;false
pthb;185p;false;false
pthb;185s;false;false
pthb;188p;false;false
pthb;188s;false;false
pthb;18p;false;false
pthb;18s;false;false
pthb;190p;false;false
pthb;190s;false;false
pthb;198p;false;false
pthb;198s;false;false
pthb;19p;false;false
pthb;19s;false;false
pthb;207p;false;false
pthb;207s;false;false
pthb;208p;false;false
pthb;208s;false;false
pthb;209p;false;false
pthb;209s;false;false
pthb;210p;false;false
pthb;210s;false;false
pthb;211p;false;false
pthb;211s;false;false
pthb;212p;false;false
pthb;212s;false;false
pthb;214p;false;false
pthb;214s;false;false
pthb;215p;false;false
pthb;215s;false;false
pthb;217p;false;false
pthb;217s;false;false
pthb;218p;false;false
pthb;218s;false;false
pthb;220p;false;false
pthb;220s;false;false
pthb;221p;false;false
pthb;221s;false;false
pthb;222p;false;false
pthb;222s;false;false
pthb;224p;false;false
pthb;224s;false;false
pthb;229p;false;false
pthb;229s;false;false
pthb;235p;false;false
pthb;235s;false;false
pthb;235★;false;false
pthb;236p;false;false
pthb;236s;false;false
pthb;243p;false;false
pthb;243s;false;false
pthb;244p;false;false
pthb;244s;false;false
pthb;245p;false;false
pthb;245s;false;false
pthb;246p;false;false
pthb;246s;false;false
pthb;247p;false;false
pthb;247s;false;false
pthb;248p;false;false
pthb;248s;false;false
pthb;24p;false;false
pthb;24s;false;false
pthb;37p;false;false
pthb;37s;false;false
pthb;39p;false;false
pthb;39s;false;false
pthb;3p;false;false
pthb;3s;false;false
pthb;43p;false;false
pthb;43s;false;false
pthb;52p;false;false
pthb;52s;false;false
pthb;55p;false;false
pthb;55s;false;false
pthb;60p;false;false
pthb;60s;false;false
pthb;71p;false;false
pthb;71s;false;false
pthb;72p;false;false
pthb;72s;false;false
pthb;73p;false;false
pthb;73s;false;false
pthb;76p;false;false
pthb;76s;false;false
pthb;80p;false;false
pthb;80s;false;false
pthb;84p;false;false
pthb;84s;false;false
pthb;90p;false;false
pthb;90s;false;false
pthb;93p;false;false
pthb;93s;false;false
pthb;94p;false;false
pthb;94s;false;false
pthb;98p;false;false
pthb;98s;false;false
