set;number;no_foil;foil
puma;U1;false;false
puma;U10;false;false
puma;U11;false;false
puma;U12;false;false
puma;U13;false;false
puma;U14;false;false
puma;U15;false;false
puma;U16;false;false
puma;U17;false;false
puma;U18;false;false
puma;U19;false;false
puma;U2;false;false
puma;U20;false;false
puma;U21;false;false
puma;U22;false;false
puma;U23;false;false
puma;U24;false;false
puma;U25;false;false
puma;U26;false;false
puma;U27;false;false
puma;U28;false;false
puma;U29;false;false
puma;U3;false;false
puma;U30;false;false
puma;U31;false;false
puma;U32;false;false
puma;U33;false;false
puma;U34;false;false
puma;U35;false;false
puma;U36;false;false
puma;U37;false;false
puma;U38;false;false
puma;U39;false;false
puma;U4;false;false
puma;U40;false;false
puma;U5;false;false
puma;U6;false;false
puma;U7;false;false
puma;U8;false;false
puma;U9;false;false
