set;number;no_foil;foil
pvan;101;false;false
pvan;102;false;false
pvan;103;false;false
pvan;104;false;false
pvan;105;false;false
pvan;106;false;false
pvan;107;false;false
pvan;108;false;false
pvan;201;false;false
pvan;202;false;false
pvan;203;false;false
pvan;204;false;false
pvan;205;false;false
pvan;206;false;false
pvan;207;false;false
pvan;208;false;false
pvan;301;false;false
pvan;302;false;false
pvan;303;false;false
pvan;304;false;false
pvan;305;false;false
pvan;306;false;false
pvan;307;false;false
pvan;308;false;false
pvan;401;false;false
pvan;402;false;false
pvan;403;false;false
pvan;404;false;false
pvan;405;false;false
pvan;406;false;false
pvan;407;false;false
pvan;408;false;false
