set;number;no_foil;foil
pvow;100s;false;false
pvow;101s;false;false
pvow;103p;false;false
pvow;103s;false;false
pvow;108s;false;false
pvow;109s;false;false
pvow;111s;false;false
pvow;115s;false;false
pvow;118p;false;false
pvow;118s;false;false
pvow;118★;false;false
pvow;119s;false;false
pvow;124p;false;false
pvow;124s;false;false
pvow;12s;false;false
pvow;131s;false;false
pvow;132p;false;false
pvow;132s;false;false
pvow;137s;false;false
pvow;140s;false;false
pvow;148s;false;false
pvow;149p;false;false
pvow;149s;false;false
pvow;150s;false;false
pvow;151s;false;false
pvow;152s;false;false
pvow;154p;false;false
pvow;154s;false;false
pvow;162s;false;false
pvow;165s;false;false
pvow;170p;false;false
pvow;170s;false;false
pvow;172s;false;false
pvow;178s;false;false
pvow;17p;false;false
pvow;17s;false;false
pvow;181s;false;false
pvow;186p;false;false
pvow;186s;false;false
pvow;187s;false;false
pvow;191s;false;false
pvow;195p;false;false
pvow;195s;false;false
pvow;197p;false;false
pvow;197s;false;false
pvow;200p;false;false
pvow;200s;false;false
pvow;201s;false;false
pvow;202s;false;false
pvow;204s;false;false
pvow;205s;false;false
pvow;20p;false;false
pvow;20s;false;false
pvow;21s;false;false
pvow;221s;false;false
pvow;225s;false;false
pvow;231s;false;false
pvow;235s;false;false
pvow;236s;false;false
pvow;237s;false;false
pvow;238s;false;false
pvow;239s;false;false
pvow;23s;false;false
pvow;240s;false;false
pvow;243s;false;false
pvow;244s;false;false
pvow;245p;false;false
pvow;245s;false;false
pvow;246s;false;false
pvow;249s;false;false
pvow;255p;false;false
pvow;255s;false;false
pvow;258p;false;false
pvow;258s;false;false
pvow;261p;false;false
pvow;261s;false;false
pvow;262p;false;false
pvow;262s;false;false
pvow;264p;false;false
pvow;264s;false;false
pvow;265p;false;false
pvow;265s;false;false
pvow;266p;false;false
pvow;266s;false;false
pvow;267p;false;false
pvow;267s;false;false
pvow;34s;false;false
pvow;36s;false;false
pvow;38p;false;false
pvow;38s;false;false
pvow;44p;false;false
pvow;44s;false;false
pvow;45s;false;false
pvow;46p;false;false
pvow;46s;false;false
pvow;46★;false;false
pvow;50s;false;false
pvow;53s;false;false
pvow;58s;false;false
pvow;5p;false;false
pvow;5s;false;false
pvow;61s;false;false
pvow;63p;false;false
pvow;63s;false;false
pvow;64s;false;false
pvow;65s;false;false
pvow;68s;false;false
pvow;6p;false;false
pvow;6s;false;false
pvow;70s;false;false
pvow;71p;false;false
pvow;71s;false;false
pvow;72s;false;false
pvow;89p;false;false
pvow;89s;false;false
pvow;98s;false;false
