set;number;no_foil;foil
pwar;12s;false;false
pwar;13p;false;false
pwar;13s;false;false
pwar;13s★;false;false
pwar;164s★;false;false
pwar;169p;false;false
pwar;169s;false;false
pwar;169s★;false;false
pwar;16s;false;false
pwar;18s;false;false
pwar;1p;false;false
pwar;1s;false;false
pwar;1s★;false;false
pwar;24s;false;false
pwar;28s;false;false
pwar;2p;false;false
pwar;2s;false;false
pwar;2s★;false;false
pwar;30s;false;false
pwar;32s;false;false
pwar;32s★;false;false
pwar;34p;false;false
pwar;34s;false;false
pwar;37s;false;false
pwar;37s★;false;false
pwar;41;false;false
pwar;45p;false;false
pwar;45s;false;false
pwar;50p;false;false
pwar;50s;false;false
pwar;51p;false;false
pwar;51s;false;false
pwar;53s;false;false
pwar;54p;false;false
pwar;54s;false;false
pwar;54s★;false;false
pwar;56s;false;false
pwar;56s★;false;false
pwar;61s;false;false
pwar;61s★;false;false
pwar;62p;false;false
pwar;62s;false;false
pwar;66s;false;false
pwar;68p;false;false
pwar;68s;false;false
pwar;79;false;false
pwar;100s;false;false
pwar;100s★;false;false
pwar;119p;false;false
pwar;119s;false;false
pwar;119s★;false;false
pwar;125p;false;false
pwar;125s;false;false
pwar;127s;false;false
pwar;133s;false;false
pwar;135s;false;false
pwar;135s★;false;false
pwar;137p;false;false
pwar;137s;false;false
pwar;138p;false;false
pwar;138s;false;false
pwar;140s;false;false
pwar;140★;false;false
pwar;143s;false;false
pwar;143s★;false;false
pwar;146s;false;false
pwar;146s★;false;false
pwar;150s;false;false
pwar;150s★;false;false
pwar;152s;false;false
pwar;160p;false;false
pwar;160s;false;false
pwar;163s;false;false
pwar;164s;false;false
pwar;79p;false;false
pwar;79s;false;false
pwar;82s;false;false
pwar;83s;false;false
pwar;83s★;false;false
pwar;85s;false;false
pwar;86p;false;false
pwar;86s;false;false
pwar;89p;false;false
pwar;89s;false;false
pwar;91p;false;false
pwar;91s;false;false
pwar;92s;false;false
pwar;97p;false;false
pwar;97s;false;false
pwar;97s★;false;false
pwar;98;false;false
pwar;99s;false;false
pwar;171;false;false
pwar;172s;false;false
pwar;180p;false;false
pwar;180s;false;false
pwar;180s★;false;false
pwar;181s;false;false
pwar;184p;false;false
pwar;184s;false;false
pwar;184s★;false;false
pwar;186s;false;false
pwar;187p;false;false
pwar;187s;false;false
pwar;191p;false;false
pwar;191s;false;false
pwar;191s★;false;false
pwar;193;false;false
pwar;194p;false;false
pwar;194s;false;false
pwar;196p;false;false
pwar;196s;false;false
pwar;197p;false;false
pwar;197s;false;false
pwar;203p;false;false
pwar;203s;false;false
pwar;207p;false;false
pwar;207s;false;false
pwar;207s★;false;false
pwar;208s;false;false
pwar;209p;false;false
pwar;209s;false;false
pwar;211p;false;false
pwar;211s;false;false
pwar;211s★;false;false
pwar;213s;false;false
pwar;214s;false;false
pwar;216p;false;false
pwar;216s;false;false
pwar;217p;false;false
pwar;217s;false;false
pwar;217s★;false;false
pwar;218p;false;false
pwar;218s;false;false
pwar;219p;false;false
pwar;219s;false;false
pwar;220p;false;false
pwar;220s;false;false
pwar;220s★;false;false
pwar;221p;false;false
pwar;221s;false;false
pwar;221s★;false;false
pwar;223;false;false
pwar;223p;false;false
pwar;223s;false;false
pwar;224p;false;false
pwar;224s;false;false
pwar;226p;false;false
pwar;226s;false;false
pwar;227s;false;false
pwar;227s★;false;false
pwar;228s;false;false
pwar;228s★;false;false
pwar;229s;false;false
pwar;229s★;false;false
pwar;230s;false;false
pwar;230s★;false;false
pwar;231s;false;false
pwar;231s★;false;false
pwar;232s;false;false
pwar;232s★;false;false
pwar;233s;false;false
pwar;233s★;false;false
pwar;234s;false;false
pwar;234s★;false;false
pwar;235s;false;false
pwar;235s★;false;false
pwar;236s;false;false
pwar;236s★;false;false
pwar;244p;false;false
pwar;244s;false;false
pwar;248;false;false
pwar;248p;false;false
pwar;248s;false;false
pwar;249p;false;false
pwar;249s;false;false
