set;number;no_foil;foil
pwcs;2019-1;false;false
pwcs;2019-2;false;false
pwcs;2019-3;false;false
pwcs;2020-1;false;false
pwcs;2020-2;false;false
pwcs;2020-3;false;false
pwcs;2020-4;false;false
pwcs;2020-5;false;false
pwcs;2020-6;false;false
pwcs;2021-1;false;false
pwcs;2021-2;false;false
pwcs;2021-3;false;false
pwcs;2021-4;false;false
pwcs;2021-5;false;false
pwcs;2021-6;false;false
pwcs;2022-1;false;false
pwcs;2022-2;false;false
pwcs;2022-3;false;false
pwcs;2022-4;false;false
pwcs;2022-5;false;false
pwcs;2022-6;false;false
pwcs;2023-1;false;false
pwcs;2023-2;false;false
pwcs;2023-3;false;false
pwcs;2023-4;false;false
pwcs;2023-5;false;false
pwcs;2024-01;false;false
pwcs;2024-02;false;false
pwcs;2024-03;false;false
pwcs;2024-05;false;false
pwcs;2024-06;false;false
pwcs;2024-07;false;false
pwcs;2024-08;false;false
pwcs;2024-09;false;false
pwcs;2025-1;false;false
pwcs;2025-2;false;false
pwcs;2025-3;false;false
pwcs;2025-4;false;false
