set;number;no_foil;foil
pwoe;102p;false;false
pwoe;102s;false;false
pwoe;107p;false;false
pwoe;107s;false;false
pwoe;108p;false;false
pwoe;108s;false;false
pwoe;113p;false;false
pwoe;113s;false;false
pwoe;115p;false;false
pwoe;115s;false;false
pwoe;124p;false;false
pwoe;124s;false;false
pwoe;129p;false;false
pwoe;129s;false;false
pwoe;132p;false;false
pwoe;132s;false;false
pwoe;137p;false;false
pwoe;137s;false;false
pwoe;13p;false;false
pwoe;13s;false;false
pwoe;143p;false;false
pwoe;143s;false;false
pwoe;145p;false;false
pwoe;145s;false;false
pwoe;146p;false;false
pwoe;146s;false;false
pwoe;148p;false;false
pwoe;148s;false;false
pwoe;150p;false;false
pwoe;150s;false;false
pwoe;157p;false;false
pwoe;157s;false;false
pwoe;163p;false;false
pwoe;163s;false;false
pwoe;164p;false;false
pwoe;164s;false;false
pwoe;168p;false;false
pwoe;168s;false;false
pwoe;169p;false;false
pwoe;169s;false;false
pwoe;172p;false;false
pwoe;172s;false;false
pwoe;176p;false;false
pwoe;176s;false;false
pwoe;184p;false;false
pwoe;184s;false;false
pwoe;190p;false;false
pwoe;190s;false;false
pwoe;197p;false;false
pwoe;197s;false;false
pwoe;199p;false;false
pwoe;199s;false;false
pwoe;1p;false;false
pwoe;1s;false;false
pwoe;200p;false;false
pwoe;200s;false;false
pwoe;202p;false;false
pwoe;202s;false;false
pwoe;203p;false;false
pwoe;203s;false;false
pwoe;204p;false;false
pwoe;204s;false;false
pwoe;206p;false;false
pwoe;206s;false;false
pwoe;208p;false;false
pwoe;208s;false;false
pwoe;211p;false;false
pwoe;211s;false;false
pwoe;215p;false;false
pwoe;215s;false;false
pwoe;218p;false;false
pwoe;218s;false;false
pwoe;219p;false;false
pwoe;219s;false;false
pwoe;21p;false;false
pwoe;21s;false;false
pwoe;220p;false;false
pwoe;220s;false;false
pwoe;222p;false;false
pwoe;222s;false;false
pwoe;223p;false;false
pwoe;223s;false;false
pwoe;224p;false;false
pwoe;224s;false;false
pwoe;225p;false;false
pwoe;225s;false;false
pwoe;228p;false;false
pwoe;228s;false;false
pwoe;230p;false;false
pwoe;230s;false;false
pwoe;231p;false;false
pwoe;231s;false;false
pwoe;233p;false;false
pwoe;233s;false;false
pwoe;234p;false;false
pwoe;234s;false;false
pwoe;235p;false;false
pwoe;235s;false;false
pwoe;240p;false;false
pwoe;240s;false;false
pwoe;242p;false;false
pwoe;242s;false;false
pwoe;247p;false;false
pwoe;247s;false;false
pwoe;248p;false;false
pwoe;248s;false;false
pwoe;252p;false;false
pwoe;252s;false;false
pwoe;257p;false;false
pwoe;257s;false;false
pwoe;258p;false;false
pwoe;258s;false;false
pwoe;259p;false;false
pwoe;259s;false;false
pwoe;25p;false;false
pwoe;25s;false;false
pwoe;260p;false;false
pwoe;260s;false;false
pwoe;261p;false;false
pwoe;261s;false;false
pwoe;31p;false;false
pwoe;31s;false;false
pwoe;34p;false;false
pwoe;34s;false;false
pwoe;35p;false;false
pwoe;35s;false;false
pwoe;38p;false;false
pwoe;38s;false;false
pwoe;39p;false;false
pwoe;39s;false;false
pwoe;42p;false;false
pwoe;42s;false;false
pwoe;48p;false;false
pwoe;48s;false;false
pwoe;49p;false;false
pwoe;49s;false;false
pwoe;53p;false;false
pwoe;53s;false;false
pwoe;56p;false;false
pwoe;56s;false;false
pwoe;66p;false;false
pwoe;66s;false;false
pwoe;73p;false;false
pwoe;73s;false;false
pwoe;76p;false;false
pwoe;76s;false;false
pwoe;78p;false;false
pwoe;78s;false;false
pwoe;82p;false;false
pwoe;82s;false;false
pwoe;87p;false;false
pwoe;87s;false;false
pwoe;93p;false;false
pwoe;93s;false;false
pwoe;96p;false;false
pwoe;96s;false;false
pwoe;97p;false;false
pwoe;97s;false;false
pwoe;98p;false;false
pwoe;98s;false;false
