set;number;no_foil;foil
pxln;104s;false;false
pxln;106p;false;false
pxln;106s;false;false
pxln;117p;false;false
pxln;117s;false;false
pxln;118p;false;false
pxln;118s;false;false
pxln;120p;false;false
pxln;120s;false;false
pxln;126p;false;false
pxln;126s;false;false
pxln;129p;false;false
pxln;129s;false;false
pxln;132s;false;false
pxln;135s;false;false
pxln;136p;false;false
pxln;13s;false;false
pxln;19p;false;false
pxln;19s;false;false
pxln;22s;false;false
pxln;24p;false;false
pxln;24s;false;false
pxln;27s;false;false
pxln;2p;false;false
pxln;2s;false;false
pxln;33s;false;false
pxln;34p;false;false
pxln;34s;false;false
pxln;3s;false;false
pxln;5;false;false
pxln;136s;false;false
pxln;42p;false;false
pxln;42s;false;false
pxln;44s;false;false
pxln;46p;false;false
pxln;46s;false;false
pxln;49s;false;false
pxln;54s;false;false
pxln;55p;false;false
pxln;55s;false;false
pxln;57s;false;false
pxln;59p;false;false
pxln;59s;false;false
pxln;5s;false;false
pxln;60s;false;false
pxln;61p;false;false
pxln;61s;false;false
pxln;66s;false;false
pxln;71p;false;false
pxln;71s;false;false
pxln;74s;false;false
pxln;82p;false;false
pxln;82s;false;false
pxln;90s;false;false
pxln;93s;false;false
pxln;94s;false;false
pxln;99p;false;false
pxln;99s;false;false
pxln;130;false;false
pxln;135;false;false
pxln;137p;false;false
pxln;137s;false;false
pxln;154s;false;false
pxln;156s;false;false
pxln;159s;false;false
pxln;161p;false;false
pxln;161s;false;false
pxln;165p;false;false
pxln;165s;false;false
pxln;170s;false;false
pxln;173s;false;false
pxln;179p;false;false
pxln;179s;false;false
pxln;184p;false;false
pxln;184s;false;false
pxln;185;false;false
pxln;185p;false;false
pxln;185s;false;false
pxln;189s;false;false
pxln;191s;false;false
pxln;199s;false;false
pxln;203p;false;false
pxln;203s;false;false
pxln;206p;false;false
pxln;206s;false;false
pxln;213p;false;false
pxln;213s;false;false
pxln;215s;false;false
pxln;217s;false;false
pxln;222s;false;false
pxln;223s;false;false
pxln;224s;false;false
pxln;227p;false;false
pxln;227s;false;false
pxln;230s;false;false
pxln;231s;false;false
pxln;232p;false;false
pxln;232s;false;false
pxln;234s;false;false
pxln;235s;false;false
pxln;238s;false;false
pxln;243s;false;false
pxln;246s;false;false
pxln;248p;false;false
pxln;248s;false;false
pxln;249s;false;false
pxln;250s;false;false
pxln;251p;false;false
pxln;251s;false;false
pxln;252p;false;false
pxln;252s;false;false
pxln;253p;false;false
pxln;253s;false;false
pxln;255p;false;false
pxln;255s;false;false
pxln;256p;false;false
pxln;256s;false;false
pxln;257p;false;false
pxln;257s;false;false
pxln;258;false;false
