set;number;no_foil;foil
rav;1;false;false
rav;2;false;false
rav;3;false;false
rav;4;false;false
rav;5;false;false
rav;6;false;false
rav;7;false;false
rav;8;false;false
rav;9;false;false
rav;10;false;false
rav;11;false;false
rav;12;false;false
rav;13;false;false
rav;14;false;false
rav;15;false;false
rav;16;false;false
rav;17;false;false
rav;18;false;false
rav;19;false;false
rav;20;false;false
rav;21;false;false
rav;22;false;false
rav;23;false;false
rav;24;false;false
rav;25;false;false
rav;26;false;false
rav;27;false;false
rav;28;false;false
rav;29;false;false
rav;30;false;false
rav;31;false;false
rav;32;false;false
rav;33;false;false
rav;34;false;false
rav;35;false;false
rav;36;false;false
rav;37;false;false
rav;38;false;false
rav;39;false;false
rav;40;false;false
rav;41;false;false
rav;42;false;false
rav;43;false;false
rav;44;false;false
rav;45;false;false
rav;46;false;false
rav;47;false;false
rav;48;false;false
rav;49;false;false
rav;50;false;false
rav;51;false;false
rav;52;false;false
rav;53;false;false
rav;54;false;false
rav;55;false;false
rav;56;false;false
rav;57;false;false
rav;58;false;false
rav;59;false;false
rav;60;false;false
rav;61;false;false
rav;62;false;false
rav;63;false;false
rav;64;false;false
rav;65;false;false
rav;66;false;false
rav;67;false;false
rav;68;false;false
rav;69;false;false
rav;70;false;false
rav;71;false;false
rav;72;false;false
rav;73;false;false
rav;74;false;false
rav;75;false;false
rav;76;false;false
rav;77;false;false
rav;78;false;false
rav;79;false;false
rav;80;false;false
rav;81;false;false
rav;82;false;false
rav;83;false;false
rav;84;false;false
rav;85;false;false
rav;86;false;false
rav;87;false;false
rav;88;false;false
rav;89;false;false
rav;90;false;false
rav;91;false;false
rav;92;false;false
rav;93;false;false
rav;94;false;false
rav;95;false;false
rav;96;false;false
rav;97;false;false
rav;98;false;false
rav;99;false;false
rav;100;false;false
rav;101;false;false
rav;102;false;false
rav;103;false;false
rav;104;false;false
rav;105;false;false
rav;106;false;false
rav;107;false;false
rav;108;false;false
rav;109;false;false
rav;110;false;false
rav;111;false;false
rav;112;false;false
rav;113;false;false
rav;114;false;false
rav;115;false;false
rav;116;false;false
rav;117;false;false
rav;118;false;false
rav;119;false;false
rav;120;false;false
rav;121;false;false
rav;122;false;false
rav;123;false;false
rav;124;false;false
rav;125;false;false
rav;126;false;false
rav;127;false;false
rav;128;false;false
rav;129;false;false
rav;130;false;false
rav;131;false;false
rav;132;false;false
rav;133;false;false
rav;134;false;false
rav;135;false;false
rav;136;false;false
rav;137;false;false
rav;138;false;false
rav;139;false;false
rav;140;false;false
rav;141;false;false
rav;142;false;false
rav;143;false;false
rav;144;false;false
rav;145;false;false
rav;146;false;false
rav;147;false;false
rav;148;false;false
rav;149;false;false
rav;150;false;false
rav;151;false;false
rav;152;false;false
rav;153;false;false
rav;154;false;false
rav;155;false;false
rav;156;false;false
rav;157;false;false
rav;158;false;false
rav;159;false;false
rav;160;false;false
rav;161;false;false
rav;162;false;false
rav;163;false;false
rav;164;false;false
rav;165;false;false
rav;166;false;false
rav;167;false;false
rav;168;false;false
rav;169;false;false
rav;170;false;false
rav;171;false;false
rav;172;false;false
rav;173;false;false
rav;174;false;false
rav;175;false;false
rav;176;false;false
rav;177;false;false
rav;178;false;false
rav;179;false;false
rav;180;false;false
rav;181;false;false
rav;182;false;false
rav;183;false;false
rav;184;false;false
rav;185;false;false
rav;186;false;false
rav;187;false;false
rav;188;false;false
rav;189;false;false
rav;190;false;false
rav;191;false;false
rav;192;false;false
rav;193;false;false
rav;194;false;false
rav;195;false;false
rav;196;false;false
rav;197;false;false
rav;198;false;false
rav;199;false;false
rav;200;false;false
rav;201;false;false
rav;202;false;false
rav;203;false;false
rav;204;false;false
rav;205;false;false
rav;206;false;false
rav;207;false;false
rav;208;false;false
rav;209;false;false
rav;210;false;false
rav;211;false;false
rav;212;false;false
rav;213;false;false
rav;214;false;false
rav;215;false;false
rav;216;false;false
rav;217;false;false
rav;218;false;false
rav;219;false;false
rav;220;false;false
rav;221;false;false
rav;222;false;false
rav;223;false;false
rav;224;false;false
rav;225;false;false
rav;226;false;false
rav;227;false;false
rav;228;false;false
rav;229;false;false
rav;230;false;false
rav;231;false;false
rav;232;false;false
rav;233;false;false
rav;234;false;false
rav;235;false;false
rav;236;false;false
rav;237;false;false
rav;238;false;false
rav;239;false;false
rav;240;false;false
rav;241;false;false
rav;242;false;false
rav;243;false;false
rav;244;false;false
rav;245;false;false
rav;246;false;false
rav;247;false;false
rav;248;false;false
rav;249;false;false
rav;250;false;false
rav;251;false;false
rav;252;false;false
rav;253;false;false
rav;254;false;false
rav;255;false;false
rav;256;false;false
rav;257;false;false
rav;258;false;false
rav;259;false;false
rav;260;false;false
rav;261;false;false
rav;262;false;false
rav;263;false;false
rav;264;false;false
rav;265;false;false
rav;266;false;false
rav;267;false;false
rav;268;false;false
rav;269;false;false
rav;270;false;false
rav;271;false;false
rav;272;false;false
rav;273;false;false
rav;274;false;false
rav;275;false;false
rav;276;false;false
rav;277;false;false
rav;278;false;false
rav;279;false;false
rav;280;false;false
rav;281;false;false
rav;282;false;false
rav;283;false;false
rav;284;false;false
rav;285;false;false
rav;286;false;false
rav;287;false;false
rav;288;false;false
rav;289;false;false
rav;290;false;false
rav;291;false;false
rav;292;false;false
rav;293;false;false
rav;294;false;false
rav;295;false;false
rav;296;false;false
rav;297;false;false
rav;298;false;false
rav;299;false;false
rav;300;false;false
rav;301;false;false
rav;302;false;false
rav;303;false;false
rav;304;false;false
rav;305;false;false
rav;306;false;false
