set;number;no_foil;foil
ren;2;false;false
ren;3;false;false
ren;4;false;false
ren;6;false;false
ren;7;false;false
ren;8;false;false
ren;9;false;false
ren;11;false;false
ren;12;false;false
ren;13;false;false
ren;15;false;false
ren;16;false;false
ren;17;false;false
ren;18;false;false
ren;19;false;false
ren;20;false;false
ren;21;false;false
ren;22;false;false
ren;23;false;false
ren;24;false;false
ren;28;false;false
ren;29;false;false
ren;30;false;false
ren;32;false;false
ren;33;false;false
ren;34;false;false
ren;36;false;false
ren;37;false;false
ren;38;false;false
ren;39;false;false
ren;40;false;false
ren;41;false;false
ren;42;false;false
ren;43;false;false
ren;44;false;false
ren;45;false;false
ren;46;false;false
ren;47;false;false
ren;48;false;false
ren;49;false;false
ren;51;false;false
ren;52;false;false
ren;54;false;false
ren;56;false;false
ren;57;false;false
ren;58;false;false
ren;59;false;false
ren;62;false;false
ren;63;false;false
ren;64;false;false
ren;65;false;false
ren;66;false;false
ren;67;false;false
ren;68;false;false
ren;69;false;false
ren;71;false;false
ren;73;false;false
ren;74;false;false
ren;75;false;false
ren;76;false;false
ren;78;false;false
ren;80;false;false
ren;83;false;false
ren;84;false;false
ren;85;false;false
ren;86;false;false
ren;87;false;false
ren;88;false;false
ren;89;false;false
ren;90;false;false
ren;91;false;false
ren;92;false;false
ren;93;false;false
ren;94;false;false
ren;95;false;false
ren;96;false;false
ren;97;false;false
ren;98;false;false
ren;99;false;false
ren;104;false;false
ren;107;false;false
ren;108;false;false
ren;112;false;false
ren;115;false;false
ren;117;false;false
ren;120;false;false
ren;122;false;false
ren;123;false;false
ren;124;false;false
ren;126;false;false
ren;129;false;false
ren;131;false;false
ren;133;false;false
ren;136;false;false
ren;143;false;false
ren;145;false;false
ren;146;false;false
ren;147;false;false
ren;149;false;false
ren;151;false;false
ren;152;false;false
ren;153;false;false
ren;154;false;false
ren;155;false;false
ren;156;false;false
ren;157;false;false
ren;158;false;false
ren;159;false;false
ren;160;false;false
ren;161;false;false
ren;162;false;false
ren;163;false;false
ren;164;false;false
ren;165;false;false
ren;166;false;false
ren;167;false;false
ren;168;false;false
ren;169;false;false
ren;170;false;false
ren;187;false;false
ren;188;false;false
ren;189;false;false
