set;number;no_foil;foil
rex;1;false;false
rex;2;false;false
rex;3;false;false
rex;4;false;false
rex;5;false;false
rex;6;false;false
rex;7;false;false
rex;8;false;false
rex;9;false;false
rex;10;false;false
rex;11;false;false
rex;12;false;false
rex;13;false;false
rex;14;false;false
rex;15;false;false
rex;16;false;false
rex;17;false;false
rex;18;false;false
rex;19;false;false
rex;20;false;false
rex;21;false;false
rex;22;false;false
rex;23;false;false
rex;24;false;false
rex;25;false;false
rex;26;false;false
rex;27;false;false
rex;28;false;false
rex;29;false;false
rex;30;false;false
rex;31;false;false
rex;32;false;false
rex;33;false;false
rex;34;false;false
rex;35;false;false
rex;36;false;false
rex;37;false;false
rex;38;false;false
rex;39;false;false
rex;40;false;false
rex;41;false;false
rex;42;false;false
rex;43;false;false
rex;44;false;false
rex;45;false;false
