set;number;no_foil;foil
rin;1;false;false
rin;5;false;false
rin;10;false;false
rin;14;false;false
rin;25;false;false
rin;26;false;false
rin;27;false;false
rin;31;false;false
rin;35;false;false
rin;50;false;false
rin;53;false;false
rin;55;false;false
rin;60;false;false
rin;61;false;false
rin;70;false;false
rin;71;false;false
rin;72;false;false
rin;77;false;false
rin;79;false;false
rin;81;false;false
rin;82;false;false
rin;99;false;false
rin;100;false;false
rin;101;false;false
rin;102;false;false
rin;103;false;false
rin;105;false;false
rin;106;false;false
rin;109;false;false
rin;110;false;false
rin;111;false;false
rin;113;false;false
rin;114;false;false
rin;116;false;false
rin;118;false;false
rin;119;false;false
rin;121;false;false
rin;125;false;false
rin;127;false;false
rin;128;false;false
rin;130;false;false
rin;132;false;false
rin;134;false;false
rin;135;false;false
rin;137;false;false
rin;138;false;false
rin;139;false;false
rin;140;false;false
rin;141;false;false
rin;142;false;false
rin;144;false;false
rin;148;false;false
rin;150;false;false
rin;171;false;false
rin;172;false;false
rin;173;false;false
rin;174;false;false
rin;175;false;false
rin;176;false;false
rin;177;false;false
rin;178;false;false
rin;179;false;false
rin;180;false;false
rin;181;false;false
rin;182;false;false
rin;183;false;false
rin;184;false;false
rin;185;false;false
rin;186;false;false
