set;number;no_foil;foil
roe;1;false;false
roe;2;false;false
roe;3;false;false
roe;4;false;false
roe;5;false;false
roe;6;false;false
roe;7;false;false
roe;8;false;false
roe;9;false;false
roe;10;false;false
roe;11;false;false
roe;12;false;false
roe;13;false;false
roe;14;false;false
roe;15;false;false
roe;16;false;false
roe;17;false;false
roe;18;false;false
roe;19;false;false
roe;20;false;false
roe;21;false;false
roe;22;false;false
roe;23;false;false
roe;24;false;false
roe;25;false;false
roe;26;false;false
roe;27;false;false
roe;28;false;false
roe;29;false;false
roe;30;false;false
roe;31;false;false
roe;32;false;false
roe;33;false;false
roe;34;false;false
roe;35;false;false
roe;36;false;false
roe;37;false;false
roe;38;false;false
roe;39;false;false
roe;40;false;false
roe;41;false;false
roe;42;false;false
roe;43;false;false
roe;44;false;false
roe;45;false;false
roe;46;false;false
roe;47;false;false
roe;48;false;false
roe;49;false;false
roe;50;false;false
roe;51;false;false
roe;52;false;false
roe;53;false;false
roe;54;false;false
roe;55;false;false
roe;56;false;false
roe;57;false;false
roe;58;false;false
roe;59;false;false
roe;60;false;false
roe;61;false;false
roe;62;false;false
roe;63;false;false
roe;64;false;false
roe;65;false;false
roe;66;false;false
roe;67;false;false
roe;68;false;false
roe;69;false;false
roe;70;false;false
roe;71;false;false
roe;72;false;false
roe;73;false;false
roe;74;false;false
roe;75;false;false
roe;76;false;false
roe;77;false;false
roe;78;false;false
roe;79;false;false
roe;80;false;false
roe;81;false;false
roe;82;false;false
roe;83;false;false
roe;84;false;false
roe;85;false;false
roe;86;false;false
roe;87;false;false
roe;88;false;false
roe;89;false;false
roe;90;false;false
roe;91;false;false
roe;92;false;false
roe;93;false;false
roe;94;false;false
roe;95;false;false
roe;96;false;false
roe;97;false;false
roe;98;false;false
roe;99;false;false
roe;100;false;false
roe;101;false;false
roe;102;false;false
roe;103;false;false
roe;104;false;false
roe;105;false;false
roe;106;false;false
roe;107;false;false
roe;108;false;false
roe;109;false;false
roe;110;false;false
roe;111;false;false
roe;112;false;false
roe;113;false;false
roe;114;false;false
roe;115;false;false
roe;116;false;false
roe;117;false;false
roe;118;false;false
roe;119;false;false
roe;120;false;false
roe;121;false;false
roe;122;false;false
roe;123;false;false
roe;124;false;false
roe;125;false;false
roe;126;false;false
roe;127;false;false
roe;128;false;false
roe;129;false;false
roe;130;false;false
roe;131;false;false
roe;132;false;false
roe;133;false;false
roe;134;false;false
roe;135;false;false
roe;136;false;false
roe;137;false;false
roe;138;false;false
roe;139;false;false
roe;140;false;false
roe;141;false;false
roe;142;false;false
roe;143;false;false
roe;144;false;false
roe;145;false;false
roe;146;false;false
roe;147;false;false
roe;148;false;false
roe;149;false;false
roe;150;false;false
roe;151;false;false
roe;152;false;false
roe;153;false;false
roe;154;false;false
roe;155;false;false
roe;156;false;false
roe;157;false;false
roe;158;false;false
roe;159;false;false
roe;160;false;false
roe;161;false;false
roe;162;false;false
roe;163;false;false
roe;164;false;false
roe;165;false;false
roe;166;false;false
roe;167;false;false
roe;168;false;false
roe;169;false;false
roe;170;false;false
roe;171;false;false
roe;172;false;false
roe;173;false;false
roe;174;false;false
roe;175;false;false
roe;176;false;false
roe;177;false;false
roe;178;false;false
roe;179;false;false
roe;180;false;false
roe;181;false;false
roe;182;false;false
roe;183;false;false
roe;184;false;false
roe;185;false;false
roe;186;false;false
roe;187;false;false
roe;188;false;false
roe;189;false;false
roe;190;false;false
roe;191;false;false
roe;192;false;false
roe;193;false;false
roe;194;false;false
roe;195;false;false
roe;196;false;false
roe;197;false;false
roe;198;false;false
roe;199;false;false
roe;200;false;false
roe;201;false;false
roe;202;false;false
roe;203;false;false
roe;204;false;false
roe;205;false;false
roe;206;false;false
roe;207;false;false
roe;208;false;false
roe;209;false;false
roe;210;false;false
roe;211;false;false
roe;212;false;false
roe;213;false;false
roe;214;false;false
roe;215;false;false
roe;216;false;false
roe;217;false;false
roe;218;false;false
roe;219;false;false
roe;220;false;false
roe;221;false;false
roe;222;false;false
roe;223;false;false
roe;224;false;false
roe;225;false;false
roe;226;false;false
roe;227;false;false
roe;228;false;false
roe;229;false;false
roe;230;false;false
roe;231;false;false
roe;232;false;false
roe;233;false;false
roe;234;false;false
roe;235;false;false
roe;236;false;false
roe;237;false;false
roe;238;false;false
roe;239;false;false
roe;240;false;false
roe;241;false;false
roe;242;false;false
roe;243;false;false
roe;244;false;false
roe;245;false;false
roe;246;false;false
roe;247;false;false
roe;248;false;false
