set;number;no_foil;foil
rqs;1;false;false
rqs;2;false;false
rqs;3;false;false
rqs;4;false;false
rqs;5;false;false
rqs;6;false;false
rqs;7;false;false
rqs;8;false;false
rqs;9;false;false
rqs;10;false;false
rqs;11;false;false
rqs;12;false;false
rqs;13;false;false
rqs;14;false;false
rqs;15;false;false
rqs;16;false;false
rqs;17;false;false
rqs;18;false;false
rqs;19;false;false
rqs;20;false;false
rqs;21;false;false
rqs;22;false;false
rqs;23;false;false
rqs;24;false;false
rqs;25;false;false
rqs;26;false;false
rqs;27;false;false
rqs;28;false;false
rqs;29;false;false
rqs;30;false;false
rqs;31;false;false
rqs;32;false;false
rqs;33;false;false
rqs;34;false;false
rqs;35;false;false
rqs;36;false;false
rqs;37;false;false
rqs;38;false;false
rqs;39;false;false
rqs;40;false;false
rqs;41;false;false
rqs;42;false;false
rqs;43;false;false
rqs;44;false;false
rqs;45;false;false
rqs;46;false;false
rqs;47;false;false
rqs;48;false;false
rqs;49;false;false
rqs;50;false;false
rqs;51;false;false
rqs;52;false;false
rqs;53;false;false
rqs;54;false;false
rqs;55;false;false
rqs;56;false;false
rqs;57;false;false
rqs;58;false;false
rqs;59;false;false
rqs;60;false;false
rqs;61;false;false
rqs;62;false;false
rqs;63;false;false
rqs;64;false;false
rqs;65;false;false
