set;number;no_foil;foil
rvr;1;false;false
rvr;2;false;false
rvr;3;false;false
rvr;4;false;false
rvr;5;false;false
rvr;6;false;false
rvr;7;false;false
rvr;8;false;false
rvr;9;false;false
rvr;10;false;false
rvr;11;false;false
rvr;12;false;false
rvr;13;false;false
rvr;14;false;false
rvr;15;false;false
rvr;16;false;false
rvr;17;false;false
rvr;18;false;false
rvr;19;false;false
rvr;20;false;false
rvr;21;false;false
rvr;22;false;false
rvr;23;false;false
rvr;24;false;false
rvr;25;false;false
rvr;26;false;false
rvr;27;false;false
rvr;28;false;false
rvr;29;false;false
rvr;30;false;false
rvr;31;false;false
rvr;32;false;false
rvr;33;false;false
rvr;34;false;false
rvr;35;false;false
rvr;36;false;false
rvr;37;false;false
rvr;38;false;false
rvr;39;false;false
rvr;40;false;false
rvr;41;false;false
rvr;42;false;false
rvr;43;false;false
rvr;44;false;false
rvr;45;false;false
rvr;46;false;false
rvr;47;false;false
rvr;48;false;false
rvr;49;false;false
rvr;50;false;false
rvr;51;false;false
rvr;52;false;false
rvr;53;false;false
rvr;54;false;false
rvr;55;false;false
rvr;56;false;false
rvr;57;false;false
rvr;58;false;false
rvr;59;false;false
rvr;60;false;false
rvr;61;false;false
rvr;62;false;false
rvr;63;false;false
rvr;64;false;false
rvr;65;false;false
rvr;66;false;false
rvr;67;false;false
rvr;68;false;false
rvr;69;false;false
rvr;70;false;false
rvr;71;false;false
rvr;72;false;false
rvr;73;false;false
rvr;74;false;false
rvr;75;false;false
rvr;76;false;false
rvr;77;false;false
rvr;78;false;false
rvr;79;false;false
rvr;80;false;false
rvr;81;false;false
rvr;82;false;false
rvr;83;false;false
rvr;84;false;false
rvr;85;false;false
rvr;86;false;false
rvr;87;false;false
rvr;88;false;false
rvr;89;false;false
rvr;90;false;false
rvr;91;false;false
rvr;92;false;false
rvr;93;false;false
rvr;94;false;false
rvr;95;false;false
rvr;96;false;false
rvr;97;false;false
rvr;98;false;false
rvr;99;false;false
rvr;100;false;false
rvr;101;false;false
rvr;102;false;false
rvr;103;false;false
rvr;104;false;false
rvr;105;false;false
rvr;106;false;false
rvr;107;false;false
rvr;108;false;false
rvr;109;false;false
rvr;110;false;false
rvr;111;false;false
rvr;112;false;false
rvr;113;false;false
rvr;114;false;false
rvr;115;false;false
rvr;116;false;false
rvr;117;false;false
rvr;118;false;false
rvr;119;false;false
rvr;120;false;false
rvr;121;false;false
rvr;122;false;false
rvr;123;false;false
rvr;124;false;false
rvr;125;false;false
rvr;126;false;false
rvr;127;false;false
rvr;128;false;false
rvr;129;false;false
rvr;130;false;false
rvr;131;false;false
rvr;132;false;false
rvr;133;false;false
rvr;134;false;false
rvr;135;false;false
rvr;136;false;false
rvr;137;false;false
rvr;138;false;false
rvr;139;false;false
rvr;140;false;false
rvr;141;false;false
rvr;142;false;false
rvr;143;false;false
rvr;144;false;false
rvr;145;false;false
rvr;146;false;false
rvr;147;false;false
rvr;148;false;false
rvr;149;false;false
rvr;150;false;false
rvr;151;false;false
rvr;152;false;false
rvr;153;false;false
rvr;154;false;false
rvr;155;false;false
rvr;156;false;false
rvr;157;false;false
rvr;158;false;false
rvr;159;false;false
rvr;160;false;false
rvr;161;false;false
rvr;162;false;false
rvr;163;false;false
rvr;164;false;false
rvr;165;false;false
rvr;166;false;false
rvr;167;false;false
rvr;168;false;false
rvr;169;false;false
rvr;170;false;false
rvr;171;false;false
rvr;172;false;false
rvr;173;false;false
rvr;174;false;false
rvr;175;false;false
rvr;176;false;false
rvr;177;false;false
rvr;178;false;false
rvr;179;false;false
rvr;180;false;false
rvr;181;false;false
rvr;182;false;false
rvr;183;false;false
rvr;184;false;false
rvr;185;false;false
rvr;186;false;false
rvr;187;false;false
rvr;188;false;false
rvr;189;false;false
rvr;190;false;false
rvr;191;false;false
rvr;192;false;false
rvr;193;false;false
rvr;194;false;false
rvr;195;false;false
rvr;196;false;false
rvr;197;false;false
rvr;198;false;false
rvr;199;false;false
rvr;200;false;false
rvr;201;false;false
rvr;202;false;false
rvr;203;false;false
rvr;204;false;false
rvr;205;false;false
rvr;206;false;false
rvr;207;false;false
rvr;208;false;false
rvr;209;false;false
rvr;210;false;false
rvr;211;false;false
rvr;212;false;false
rvr;213;false;false
rvr;214;false;false
rvr;215;false;false
rvr;216;false;false
rvr;217;false;false
rvr;218;false;false
rvr;219;false;false
rvr;220;false;false
rvr;221;false;false
rvr;222;false;false
rvr;223;false;false
rvr;224;false;false
rvr;225;false;false
rvr;226;false;false
rvr;227;false;false
rvr;228;false;false
rvr;229;false;false
rvr;230;false;false
rvr;231;false;false
rvr;232;false;false
rvr;233;false;false
rvr;234;false;false
rvr;235;false;false
rvr;236;false;false
rvr;237;false;false
rvr;238;false;false
rvr;239;false;false
rvr;240;false;false
rvr;241;false;false
rvr;242;false;false
rvr;243;false;false
rvr;244;false;false
rvr;245;false;false
rvr;246;false;false
rvr;247;false;false
rvr;248;false;false
rvr;249;false;false
rvr;250;false;false
rvr;251;false;false
rvr;252;false;false
rvr;253;false;false
rvr;254;false;false
rvr;255;false;false
rvr;256;false;false
rvr;257;false;false
rvr;258;false;false
rvr;259;false;false
rvr;260;false;false
rvr;261;false;false
rvr;262;false;false
rvr;263;false;false
rvr;264;false;false
rvr;265;false;false
rvr;266;false;false
rvr;267;false;false
rvr;268;false;false
rvr;269;false;false
rvr;270;false;false
rvr;271;false;false
rvr;272;false;false
rvr;273;false;false
rvr;274;false;false
rvr;275;false;false
rvr;276;false;false
rvr;277;false;false
rvr;278;false;false
rvr;279;false;false
rvr;280;false;false
rvr;281;false;false
rvr;282;false;false
rvr;283;false;false
rvr;284;false;false
rvr;285;false;false
rvr;286;false;false
rvr;287;false;false
rvr;288;false;false
rvr;289;false;false
rvr;290;false;false
rvr;291;false;false
rvr;292;false;false
rvr;293;false;false
rvr;294;false;false
rvr;295;false;false
rvr;296;false;false
rvr;297;false;false
rvr;298;false;false
rvr;299;false;false
rvr;300;false;false
rvr;301;false;false
rvr;302;false;false
rvr;302z;false;false
rvr;303;false;false
rvr;303z;false;false
rvr;304;false;false
rvr;305;false;false
rvr;306;false;false
rvr;306z;false;false
rvr;307;false;false
rvr;308;false;false
rvr;308z;false;false
rvr;309;false;false
rvr;309z;false;false
rvr;310;false;false
rvr;311;false;false
rvr;312;false;false
rvr;312z;false;false
rvr;313;false;false
rvr;313z;false;false
rvr;314;false;false
rvr;315;false;false
rvr;316;false;false
rvr;317;false;false
rvr;318;false;false
rvr;319;false;false
rvr;319z;false;false
rvr;320;false;false
rvr;320z;false;false
rvr;321;false;false
rvr;322;false;false
rvr;322z;false;false
rvr;323;false;false
rvr;323z;false;false
rvr;324;false;false
rvr;325;false;false
rvr;326;false;false
rvr;326z;false;false
rvr;327;false;false
rvr;327z;false;false
rvr;328;false;false
rvr;328z;false;false
rvr;329;false;false
rvr;330;false;false
rvr;331;false;false
rvr;331z;false;false
rvr;332;false;false
rvr;333;false;false
rvr;333z;false;false
rvr;334;false;false
rvr;334z;false;false
rvr;335;false;false
rvr;335z;false;false
rvr;336;false;false
rvr;337;false;false
rvr;337z;false;false
rvr;338;false;false
rvr;339;false;false
rvr;339z;false;false
rvr;340;false;false
rvr;341;false;false
rvr;342;false;false
rvr;342z;false;false
rvr;343;false;false
rvr;344;false;false
rvr;344z;false;false
rvr;345;false;false
rvr;345z;false;false
rvr;346;false;false
rvr;347;false;false
rvr;348;false;false
rvr;348z;false;false
rvr;349;false;false
rvr;349z;false;false
rvr;350;false;false
rvr;350z;false;false
rvr;351;false;false
rvr;352;false;false
rvr;353;false;false
rvr;353z;false;false
rvr;354;false;false
rvr;355;false;false
rvr;356;false;false
rvr;356z;false;false
rvr;357;false;false
rvr;357z;false;false
rvr;358;false;false
rvr;359;false;false
rvr;360;false;false
rvr;360z;false;false
rvr;361;false;false
rvr;362;false;false
rvr;363;false;false
rvr;363z;false;false
rvr;364;false;false
rvr;365;false;false
rvr;365z;false;false
rvr;366;false;false
rvr;367;false;false
rvr;368;false;false
rvr;369;false;false
rvr;369z;false;false
rvr;370;false;false
rvr;370z;false;false
rvr;371;false;false
rvr;371z;false;false
rvr;372;false;false
rvr;373;false;false
rvr;373z;false;false
rvr;374;false;false
rvr;375;false;false
rvr;375z;false;false
rvr;376;false;false
rvr;376z;false;false
rvr;377;false;false
rvr;377z;false;false
rvr;378;false;false
rvr;379;false;false
rvr;379z;false;false
rvr;380;false;false
rvr;381;false;false
rvr;381z;false;false
rvr;382;false;false
rvr;383;false;false
rvr;383z;false;false
rvr;384;false;false
rvr;384z;false;false
rvr;385;false;false
rvr;385z;false;false
rvr;386;false;false
rvr;386z;false;false
rvr;387;false;false
rvr;387z;false;false
rvr;388;false;false
rvr;388z;false;false
rvr;389;false;false
rvr;389z;false;false
rvr;390;false;false
rvr;390z;false;false
rvr;391;false;false
rvr;391z;false;false
rvr;392;false;false
rvr;392z;false;false
rvr;393;false;false
rvr;393z;false;false
rvr;394;false;false
rvr;394z;false;false
rvr;395;false;false
rvr;395z;false;false
rvr;396;false;false
rvr;397;false;false
rvr;397z;false;false
rvr;398;false;false
rvr;399;false;false
rvr;399z;false;false
rvr;400;false;false
rvr;401;false;false
rvr;401z;false;false
rvr;402;false;false
rvr;403;false;false
rvr;404;false;false
rvr;404z;false;false
rvr;405;false;false
rvr;406;false;false
rvr;407;false;false
rvr;407z;false;false
rvr;408;false;false
rvr;409;false;false
rvr;409z;false;false
rvr;410;false;false
rvr;411;false;false
rvr;412;false;false
rvr;412z;false;false
rvr;413;false;false
rvr;413z;false;false
rvr;414;false;false
rvr;414z;false;false
rvr;415;false;false
rvr;415z;false;false
rvr;416;false;false
rvr;417;false;false
rvr;418;false;false
rvr;419;false;false
rvr;420;false;false
rvr;421;false;false
rvr;422;false;false
rvr;423;false;false
rvr;424;false;false
rvr;425;false;false
rvr;426;false;false
rvr;427;false;false
rvr;428;false;false
rvr;429;false;false
rvr;430;false;false
rvr;431;false;false
rvr;432;false;false
rvr;433;false;false
rvr;434;false;false
rvr;435;false;false
rvr;436;false;false
rvr;437;false;false
rvr;438;false;false
rvr;439;false;false
rvr;440;false;false
rvr;441;false;false
rvr;442;false;false
rvr;443;false;false
rvr;444;false;false
rvr;445;false;false
rvr;446;false;false
rvr;447;false;false
rvr;448;false;false
rvr;449;false;false
rvr;450;false;false
rvr;451;false;false
rvr;452;false;false
rvr;453;false;false
rvr;454;false;false
rvr;455;false;false
rvr;456;false;false
rvr;457;false;false
rvr;458;false;false
rvr;459;false;false
rvr;460;false;false
rvr;461;false;false
rvr;462;false;false
rvr;463;false;false
rvr;464;false;false
rvr;465;false;false
rvr;466;false;false
rvr;467;false;false
