set;number;no_foil;foil
s99;1;false;false
s99;2;false;false
s99;3;false;false
s99;4;false;false
s99;5;false;false
s99;6;false;false
s99;7;false;false
s99;8;false;false
s99;9;false;false
s99;10;false;false
s99;11;false;false
s99;12;false;false
s99;13;false;false
s99;14;false;false
s99;15;false;false
s99;16;false;false
s99;17;false;false
s99;18;false;false
s99;19;false;false
s99;20;false;false
s99;21;false;false
s99;22;false;false
s99;23;false;false
s99;24;false;false
s99;25;false;false
s99;26;false;false
s99;27;false;false
s99;28;false;false
s99;29;false;false
s99;30;false;false
s99;31;false;false
s99;32;false;false
s99;33;false;false
s99;34;false;false
s99;35;false;false
s99;36;false;false
s99;37;false;false
s99;38;false;false
s99;39;false;false
s99;40;false;false
s99;41;false;false
s99;42;false;false
s99;43;false;false
s99;44;false;false
s99;45;false;false
s99;46;false;false
s99;47;false;false
s99;48;false;false
s99;49;false;false
s99;50;false;false
s99;51;false;false
s99;52;false;false
s99;53;false;false
s99;54;false;false
s99;55;false;false
s99;56;false;false
s99;57;false;false
s99;58;false;false
s99;59;false;false
s99;60;false;false
s99;61;false;false
s99;62;false;false
s99;63;false;false
s99;64;false;false
s99;65;false;false
s99;66;false;false
s99;67;false;false
s99;68;false;false
s99;69;false;false
s99;70;false;false
s99;71;false;false
s99;72;false;false
s99;73;false;false
s99;74;false;false
s99;75;false;false
s99;76;false;false
s99;77;false;false
s99;78;false;false
s99;79;false;false
s99;80;false;false
s99;81;false;false
s99;82;false;false
s99;83;false;false
s99;84;false;false
s99;85;false;false
s99;86;false;false
s99;87;false;false
s99;88;false;false
s99;89;false;false
s99;90;false;false
s99;91;false;false
s99;92;false;false
s99;93;false;false
s99;94;false;false
s99;95;false;false
s99;96;false;false
s99;97;false;false
s99;98;false;false
s99;99;false;false
s99;100;false;false
s99;101;false;false
s99;102;false;false
s99;103;false;false
s99;104;false;false
s99;105;false;false
s99;106;false;false
s99;107;false;false
s99;108;false;false
s99;109;false;false
s99;110;false;false
s99;111;false;false
s99;112;false;false
s99;113;false;false
s99;114;false;false
s99;115;false;false
s99;116;false;false
s99;117;false;false
s99;118;false;false
s99;119;false;false
s99;120;false;false
s99;121;false;false
s99;122;false;false
s99;123;false;false
s99;124;false;false
s99;125;false;false
s99;126;false;false
s99;127;false;false
s99;128;false;false
s99;129;false;false
s99;130;false;false
s99;131;false;false
s99;132;false;false
s99;133;false;false
s99;134;false;false
s99;135;false;false
s99;136;false;false
s99;137;false;false
s99;138;false;false
s99;139;false;false
s99;140;false;false
s99;141;false;false
s99;142;false;false
s99;143;false;false
s99;144;false;false
s99;145;false;false
s99;146;false;false
s99;147;false;false
s99;148;false;false
s99;149;false;false
s99;150;false;false
s99;151;false;false
s99;152;false;false
s99;153;false;false
s99;154;false;false
s99;155;false;false
s99;156;false;false
s99;157;false;false
s99;158;false;false
s99;159;false;false
s99;160;false;false
s99;161;false;false
s99;162;false;false
s99;163;false;false
s99;164;false;false
s99;165;false;false
s99;166;false;false
s99;167;false;false
s99;168;false;false
s99;169;false;false
s99;170;false;false
s99;171;false;false
s99;172;false;false
s99;173;false;false
