set;number;no_foil;foil
scd;1;false;false
scd;2;false;false
scd;3;false;false
scd;4;false;false
scd;5;false;false
scd;6;false;false
scd;7;false;false
scd;8;false;false
scd;9;false;false
scd;10;false;false
scd;11;false;false
scd;12;false;false
scd;13;false;false
scd;14;false;false
scd;15;false;false
scd;16;false;false
scd;17;false;false
scd;18;false;false
scd;19;false;false
scd;20;false;false
scd;21;false;false
scd;22;false;false
scd;23;false;false
scd;24;false;false
scd;25;false;false
scd;26;false;false
scd;27;false;false
scd;28;false;false
scd;29;false;false
scd;30;false;false
scd;31;false;false
scd;32;false;false
scd;33;false;false
scd;34;false;false
scd;35;false;false
scd;36;false;false
scd;37;false;false
scd;38;false;false
scd;39;false;false
scd;40;false;false
scd;41;false;false
scd;42;false;false
scd;43;false;false
scd;44;false;false
scd;45;false;false
scd;46;false;false
scd;47;false;false
scd;48;false;false
scd;49;false;false
scd;50;false;false
scd;51;false;false
scd;52;false;false
scd;53;false;false
scd;54;false;false
scd;55;false;false
scd;56;false;false
scd;57;false;false
scd;58;false;false
scd;59;false;false
scd;60;false;false
scd;61;false;false
scd;62;false;false
scd;63;false;false
scd;64;false;false
scd;65;false;false
scd;66;false;false
scd;67;false;false
scd;68;false;false
scd;69;false;false
scd;70;false;false
scd;71;false;false
scd;72;false;false
scd;73;false;false
scd;74;false;false
scd;75;false;false
scd;76;false;false
scd;77;false;false
scd;78;false;false
scd;79;false;false
scd;80;false;false
scd;81;false;false
scd;82;false;false
scd;83;false;false
scd;84;false;false
scd;85;false;false
scd;86;false;false
scd;87;false;false
scd;88;false;false
scd;89;false;false
scd;90;false;false
scd;91;false;false
scd;92;false;false
scd;93;false;false
scd;94;false;false
scd;95;false;false
scd;96;false;false
scd;97;false;false
scd;98;false;false
scd;99;false;false
scd;100;false;false
scd;101;false;false
scd;102;false;false
scd;103;false;false
scd;104;false;false
scd;105;false;false
scd;106;false;false
scd;107;false;false
scd;108;false;false
scd;109;false;false
scd;110;false;false
scd;111;false;false
scd;112;false;false
scd;113;false;false
scd;114;false;false
scd;115;false;false
scd;116;false;false
scd;117;false;false
scd;118;false;false
scd;119;false;false
scd;120;false;false
scd;121;false;false
scd;122;false;false
scd;123;false;false
scd;124;false;false
scd;125;false;false
scd;126;false;false
scd;127;false;false
scd;128;false;false
scd;129;false;false
scd;130;false;false
scd;131;false;false
scd;132;false;false
scd;133;false;false
scd;134;false;false
scd;135;false;false
scd;136;false;false
scd;137;false;false
scd;138;false;false
scd;139;false;false
scd;140;false;false
scd;141;false;false
scd;142;false;false
scd;143;false;false
scd;144;false;false
scd;145;false;false
scd;146;false;false
scd;147;false;false
scd;148;false;false
scd;149;false;false
scd;150;false;false
scd;151;false;false
scd;152;false;false
scd;153;false;false
scd;154;false;false
scd;155;false;false
scd;156;false;false
scd;157;false;false
scd;158;false;false
scd;159;false;false
scd;160;false;false
scd;161;false;false
scd;162;false;false
scd;163;false;false
scd;164;false;false
scd;165;false;false
scd;166;false;false
scd;167;false;false
scd;168;false;false
scd;169;false;false
scd;170;false;false
scd;171;false;false
scd;172;false;false
scd;173;false;false
scd;174;false;false
scd;175;false;false
scd;176;false;false
scd;177;false;false
scd;178;false;false
scd;179;false;false
scd;180;false;false
scd;181;false;false
scd;182;false;false
scd;183;false;false
scd;184;false;false
scd;185;false;false
scd;186;false;false
scd;187;false;false
scd;188;false;false
scd;189;false;false
scd;190;false;false
scd;191;false;false
scd;192;false;false
scd;193;false;false
scd;194;false;false
scd;195;false;false
scd;196;false;false
scd;197;false;false
scd;198;false;false
scd;199;false;false
scd;200;false;false
scd;201;false;false
scd;202;false;false
scd;203;false;false
scd;204;false;false
scd;205;false;false
scd;206;false;false
scd;207;false;false
scd;208;false;false
scd;209;false;false
scd;210;false;false
scd;211;false;false
scd;212;false;false
scd;213;false;false
scd;214;false;false
scd;215;false;false
scd;216;false;false
scd;217;false;false
scd;218;false;false
scd;219;false;false
scd;220;false;false
scd;221;false;false
scd;222;false;false
scd;223;false;false
scd;224;false;false
scd;225;false;false
scd;226;false;false
scd;227;false;false
scd;228;false;false
scd;229;false;false
scd;230;false;false
scd;231;false;false
scd;232;false;false
scd;233;false;false
scd;234;false;false
scd;235;false;false
scd;236;false;false
scd;237;false;false
scd;238;false;false
scd;239;false;false
scd;240;false;false
scd;241;false;false
scd;242;false;false
scd;243;false;false
scd;244;false;false
scd;245;false;false
scd;246;false;false
scd;247;false;false
scd;248;false;false
scd;249;false;false
scd;250;false;false
scd;251;false;false
scd;252;false;false
scd;253;false;false
scd;254;false;false
scd;255;false;false
scd;256;false;false
scd;257;false;false
scd;258;false;false
scd;259;false;false
scd;260;false;false
scd;261;false;false
scd;262;false;false
scd;263;false;false
scd;264;false;false
scd;265;false;false
scd;266;false;false
scd;267;false;false
scd;268;false;false
scd;269;false;false
scd;270;false;false
scd;271;false;false
scd;272;false;false
scd;273;false;false
scd;274;false;false
scd;275;false;false
scd;276;false;false
scd;277;false;false
scd;278;false;false
scd;279;false;false
scd;280;false;false
scd;281;false;false
scd;282;false;false
scd;283;false;false
scd;284;false;false
scd;285;false;false
scd;286;false;false
scd;287;false;false
scd;288;false;false
scd;289;false;false
scd;290;false;false
scd;291;false;false
scd;292;false;false
scd;293;false;false
scd;294;false;false
scd;295;false;false
scd;296;false;false
scd;297;false;false
scd;298;false;false
scd;299;false;false
scd;300;false;false
scd;301;false;false
scd;302;false;false
scd;303;false;false
scd;304;false;false
scd;305;false;false
scd;306;false;false
scd;307;false;false
scd;308;false;false
scd;309;false;false
scd;310;false;false
scd;311;false;false
scd;312;false;false
scd;313;false;false
scd;314;false;false
scd;315;false;false
scd;316;false;false
scd;317;false;false
scd;318;false;false
scd;319;false;false
scd;320;false;false
scd;321;false;false
scd;322;false;false
scd;323;false;false
scd;324;false;false
scd;325;false;false
scd;326;false;false
scd;327;false;false
scd;328;false;false
scd;329;false;false
scd;330;false;false
scd;331;false;false
scd;332;false;false
scd;333;false;false
scd;334;false;false
scd;335;false;false
