set;number;no_foil;foil
scg;1;false;false
scg;2;false;false
scg;3;false;false
scg;4;false;false
scg;5;false;false
scg;6;false;false
scg;7;false;false
scg;8;false;false
scg;9;false;false
scg;10;false;false
scg;11;false;false
scg;12;false;false
scg;13;false;false
scg;14;false;false
scg;15;false;false
scg;16;false;false
scg;17;false;false
scg;18;false;false
scg;19;false;false
scg;20;false;false
scg;21;false;false
scg;22;false;false
scg;23;false;false
scg;24;false;false
scg;25;false;false
scg;26;false;false
scg;27;false;false
scg;28;false;false
scg;29;false;false
scg;30;false;false
scg;31;false;false
scg;32;false;false
scg;33;false;false
scg;34;false;false
scg;35;false;false
scg;36;false;false
scg;37;false;false
scg;38;false;false
scg;39;false;false
scg;40;false;false
scg;41;false;false
scg;42;false;false
scg;43;false;false
scg;44;false;false
scg;45;false;false
scg;46;false;false
scg;47;false;false
scg;48;false;false
scg;49;false;false
scg;50;false;false
scg;51;false;false
scg;52;false;false
scg;53;false;false
scg;54;false;false
scg;55;false;false
scg;56;false;false
scg;57;false;false
scg;58;false;false
scg;59;false;false
scg;60;false;false
scg;61;false;false
scg;62;false;false
scg;63;false;false
scg;64;false;false
scg;65;false;false
scg;66;false;false
scg;67;false;false
scg;68;false;false
scg;69;false;false
scg;70;false;false
scg;71;false;false
scg;72;false;false
scg;73;false;false
scg;74;false;false
scg;75;false;false
scg;76;false;false
scg;77;false;false
scg;78;false;false
scg;79;false;false
scg;80;false;false
scg;81;false;false
scg;82;false;false
scg;83;false;false
scg;84;false;false
scg;85;false;false
scg;86;false;false
scg;87;false;false
scg;88;false;false
scg;89;false;false
scg;90;false;false
scg;91;false;false
scg;92;false;false
scg;93;false;false
scg;94;false;false
scg;95;false;false
scg;96;false;false
scg;97;false;false
scg;98;false;false
scg;99;false;false
scg;100;false;false
scg;101;false;false
scg;102;false;false
scg;103;false;false
scg;104;false;false
scg;105;false;false
scg;106;false;false
scg;107;false;false
scg;108;false;false
scg;109;false;false
scg;110;false;false
scg;111;false;false
scg;112;false;false
scg;113;false;false
scg;114;false;false
scg;115;false;false
scg;116;false;false
scg;117;false;false
scg;118;false;false
scg;119;false;false
scg;120;false;false
scg;121;false;false
scg;122;false;false
scg;123;false;false
scg;124;false;false
scg;125;false;false
scg;126;false;false
scg;127;false;false
scg;128;false;false
scg;129;false;false
scg;130;false;false
scg;131;false;false
scg;132;false;false
scg;133;false;false
scg;134;false;false
scg;135;false;false
scg;136;false;false
scg;137;false;false
scg;138;false;false
scg;139;false;false
scg;140;false;false
scg;141;false;false
scg;142;false;false
scg;143;false;false
