set;number;no_foil;foil
sch;1;false;false
sch;2;false;false
sch;3;false;false
sch;4;false;false
sch;5;false;false
sch;6;false;false
sch;7;false;false
sch;8;false;false
sch;9;false;false
sch;10;false;false
sch;11;false;false
sch;12;false;false
sch;13;false;false
sch;14;false;false
sch;15;false;false
sch;16;false;false
sch;17;false;false
sch;18;false;false
sch;19;false;false
sch;20;false;false
sch;21;false;false
sch;22;false;false
sch;23e;false;false
sch;24;false;false
sch;25;false;false
sch;26;false;false
sch;27;false;false
sch;28;false;false
sch;29;false;false
sch;30;false;false
sch;31;false;false
sch;32;false;false
sch;33;false;false
sch;34;false;false
sch;35;false;false
sch;36;false;false
sch;37;false;false
sch;38;false;false
sch;39;false;false
sch;40;false;false
sch;41;false;false
sch;42;false;false
sch;43;false;false
sch;44;false;false
