set;number;no_foil;foil
shm;1;false;false
shm;2;false;false
shm;3;false;false
shm;4;false;false
shm;5;false;false
shm;6;false;false
shm;7;false;false
shm;8;false;false
shm;9;false;false
shm;10;false;false
shm;11;false;false
shm;12;false;false
shm;13;false;false
shm;14;false;false
shm;15;false;false
shm;16;false;false
shm;17;false;false
shm;18;false;false
shm;19;false;false
shm;20;false;false
shm;21;false;false
shm;22;false;false
shm;23;false;false
shm;24;false;false
shm;25;false;false
shm;26;false;false
shm;27;false;false
shm;28;false;false
shm;29;false;false
shm;30;false;false
shm;31;false;false
shm;32;false;false
shm;33;false;false
shm;34;false;false
shm;35;false;false
shm;36;false;false
shm;37;false;false
shm;38;false;false
shm;39;false;false
shm;40;false;false
shm;41;false;false
shm;42;false;false
shm;43;false;false
shm;44;false;false
shm;45;false;false
shm;46;false;false
shm;47;false;false
shm;48;false;false
shm;49;false;false
shm;50;false;false
shm;51;false;false
shm;52;false;false
shm;53;false;false
shm;54;false;false
shm;55;false;false
shm;56;false;false
shm;57;false;false
shm;58;false;false
shm;59;false;false
shm;60;false;false
shm;61;false;false
shm;62;false;false
shm;63;false;false
shm;64;false;false
shm;65;false;false
shm;66;false;false
shm;67;false;false
shm;68;false;false
shm;69;false;false
shm;70;false;false
shm;71;false;false
shm;72;false;false
shm;73;false;false
shm;74;false;false
shm;75;false;false
shm;76;false;false
shm;77;false;false
shm;78;false;false
shm;79;false;false
shm;80;false;false
shm;81;false;false
shm;82;false;false
shm;83;false;false
shm;84;false;false
shm;85;false;false
shm;86;false;false
shm;87;false;false
shm;88;false;false
shm;89;false;false
shm;90;false;false
shm;91;false;false
shm;92;false;false
shm;93;false;false
shm;94;false;false
shm;95;false;false
shm;96;false;false
shm;97;false;false
shm;98;false;false
shm;99;false;false
shm;100;false;false
shm;101;false;false
shm;102;false;false
shm;103;false;false
shm;104;false;false
shm;105;false;false
shm;106;false;false
shm;107;false;false
shm;108;false;false
shm;109;false;false
shm;110;false;false
shm;111;false;false
shm;112;false;false
shm;113;false;false
shm;114;false;false
shm;115;false;false
shm;116;false;false
shm;117;false;false
shm;118;false;false
shm;119;false;false
shm;120;false;false
shm;121;false;false
shm;122;false;false
shm;123;false;false
shm;124;false;false
shm;125;false;false
shm;126;false;false
shm;127;false;false
shm;128;false;false
shm;129;false;false
shm;130;false;false
shm;131;false;false
shm;132;false;false
shm;133;false;false
shm;134;false;false
shm;135;false;false
shm;136;false;false
shm;137;false;false
shm;138;false;false
shm;139;false;false
shm;140;false;false
shm;141;false;false
shm;142;false;false
shm;143;false;false
shm;144;false;false
shm;145;false;false
shm;146;false;false
shm;147;false;false
shm;148;false;false
shm;149;false;false
shm;150;false;false
shm;151;false;false
shm;152;false;false
shm;153;false;false
shm;154;false;false
shm;155;false;false
shm;156;false;false
shm;157;false;false
shm;158;false;false
shm;159;false;false
shm;160;false;false
shm;161;false;false
shm;162;false;false
shm;163;false;false
shm;164;false;false
shm;165;false;false
shm;166;false;false
shm;167;false;false
shm;168;false;false
shm;169;false;false
shm;170;false;false
shm;171;false;false
shm;172;false;false
shm;173;false;false
shm;174;false;false
shm;175;false;false
shm;176;false;false
shm;177;false;false
shm;178;false;false
shm;179;false;false
shm;180;false;false
shm;181;false;false
shm;182;false;false
shm;183;false;false
shm;184;false;false
shm;185;false;false
shm;186;false;false
shm;187;false;false
shm;188;false;false
shm;189;false;false
shm;190;false;false
shm;191;false;false
shm;192;false;false
shm;193;false;false
shm;194;false;false
shm;195;false;false
shm;196;false;false
shm;197;false;false
shm;198;false;false
shm;199;false;false
shm;200;false;false
shm;201;false;false
shm;202;false;false
shm;203;false;false
shm;204;false;false
shm;205;false;false
shm;206;false;false
shm;207;false;false
shm;208;false;false
shm;209;false;false
shm;210;false;false
shm;211;false;false
shm;212;false;false
shm;213;false;false
shm;214;false;false
shm;215;false;false
shm;216;false;false
shm;217;false;false
shm;218;false;false
shm;219;false;false
shm;220;false;false
shm;221;false;false
shm;222;false;false
shm;223;false;false
shm;224;false;false
shm;225;false;false
shm;226;false;false
shm;227;false;false
shm;228;false;false
shm;229;false;false
shm;230;false;false
shm;231;false;false
shm;232;false;false
shm;233;false;false
shm;234;false;false
shm;235;false;false
shm;236;false;false
shm;237;false;false
shm;238;false;false
shm;239;false;false
shm;240;false;false
shm;241;false;false
shm;242;false;false
shm;243;false;false
shm;244;false;false
shm;245;false;false
shm;246;false;false
shm;247;false;false
shm;248;false;false
shm;249;false;false
shm;250;false;false
shm;251;false;false
shm;252;false;false
shm;253;false;false
shm;254;false;false
shm;255;false;false
shm;256;false;false
shm;257;false;false
shm;258;false;false
shm;259;false;false
shm;260;false;false
shm;261;false;false
shm;262;false;false
shm;263;false;false
shm;264;false;false
shm;265;false;false
shm;266;false;false
shm;267;false;false
shm;268;false;false
shm;269;false;false
shm;270;false;false
shm;271;false;false
shm;272;false;false
shm;273;false;false
shm;274;false;false
shm;275;false;false
shm;276;false;false
shm;277;false;false
shm;278;false;false
shm;278★;false;false
shm;279;false;false
shm;280;false;false
shm;281;false;false
shm;282;false;false
shm;283;false;false
shm;284;false;false
shm;285;false;false
shm;286;false;false
shm;287;false;false
shm;288;false;false
shm;289;false;false
shm;290;false;false
shm;291;false;false
shm;292;false;false
shm;293;false;false
shm;294;false;false
shm;295;false;false
shm;296;false;false
shm;297;false;false
shm;298;false;false
shm;299;false;false
shm;300;false;false
shm;301;false;false
