set;number;no_foil;foil
sis;1;false;false
sis;2;false;false
sis;3;false;false
sis;4;false;false
sis;5;false;false
sis;6;false;false
sis;7;false;false
sis;8;false;false
sis;9;false;false
sis;10;false;false
sis;11;false;false
sis;12;false;false
sis;13;false;false
sis;14;false;false
sis;15;false;false
sis;16;false;false
sis;17;false;false
sis;18;false;false
sis;19;false;false
sis;20;false;false
sis;21;false;false
sis;22;false;false
sis;23;false;false
sis;24;false;false
sis;25;false;false
sis;26;false;false
sis;27;false;false
sis;28;false;false
sis;29;false;false
sis;30;false;false
sis;31;false;false
sis;32;false;false
sis;33;false;false
sis;34;false;false
sis;35;false;false
sis;36;false;false
sis;37;false;false
sis;38;false;false
sis;39;false;false
sis;40;false;false
sis;41;false;false
sis;42;false;false
sis;43;false;false
sis;44;false;false
sis;45;false;false
sis;46;false;false
sis;47;false;false
sis;48;false;false
sis;49;false;false
sis;50;false;false
sis;51;false;false
sis;52;false;false
sis;53;false;false
sis;54;false;false
sis;55;false;false
sis;56;false;false
sis;57;false;false
sis;58;false;false
sis;59;false;false
sis;60;false;false
sis;61;false;false
sis;62;false;false
sis;63;false;false
sis;64;false;false
sis;65;false;false
sis;66;false;false
sis;67;false;false
sis;68;false;false
sis;69;false;false
sis;70;false;false
sis;71;false;false
sis;72;false;false
sis;73;false;false
sis;74;false;false
sis;75;false;false
sis;76;false;false
