set;number;no_foil;foil
slc;1993;false;false
slc;1994;false;false
slc;1995;false;false
slc;1996;false;false
slc;1997;false;false
slc;1998;false;false
slc;1999;false;false
slc;2000;false;false
slc;2001;false;false
slc;2002;false;false
slc;2003;false;false
slc;2004;false;false
slc;2005;false;false
slc;2006;false;false
slc;2007;false;false
slc;2008;false;false
slc;2009;false;false
slc;2010;false;false
slc;2011;false;false
slc;2012;false;false
slc;2013;false;false
slc;2014;false;false
slc;2015;false;false
slc;2016;false;false
slc;2017;false;false
slc;2018;false;false
slc;2019;false;false
slc;2020;false;false
slc;2021;false;false
slc;2022;false;false
slc;2023;false;false
