set;number;no_foil;foil
sld;SCTLR;false;false
sld;VS;false;false
sld;1;false;false
sld;2;false;false
sld;3;false;false
sld;4;false;false
sld;5;false;false
sld;6;false;false
sld;7;false;false
sld;8;false;false
sld;9;false;false
sld;10;false;false
sld;11;false;false
sld;12;false;false
sld;13;false;false
sld;14;false;false
sld;15;false;false
sld;16;false;false
sld;17;false;false
sld;18;false;false
sld;19;false;false
sld;20;false;false
sld;21;false;false
sld;22;false;false
sld;23;false;false
sld;24;false;false
sld;25;false;false
sld;26;false;false
sld;27;false;false
sld;28;false;false
sld;29;false;false
sld;30;false;false
sld;31;false;false
sld;32;false;false
sld;33;false;false
sld;34;false;false
sld;35;false;false
sld;36;false;false
sld;37;false;false
sld;38;false;false
sld;39;false;false
sld;40;false;false
sld;41;false;false
sld;42;false;false
sld;43;false;false
sld;44;false;false
sld;45;false;false
sld;46;false;false
sld;47;false;false
sld;48;false;false
sld;49;false;false
sld;50;false;false
sld;51;false;false
sld;52;false;false
sld;53;false;false
sld;54;false;false
sld;55;false;false
sld;56;false;false
sld;57;false;false
sld;58;false;false
sld;59;false;false
sld;60;false;false
sld;61;false;false
sld;62;false;false
sld;63;false;false
sld;64;false;false
sld;65;false;false
sld;66;false;false
sld;67;false;false
sld;68;false;false
sld;69;false;false
sld;70;false;false
sld;71;false;false
sld;72;false;false
sld;73;false;false
sld;74;false;false
sld;75;false;false
sld;76;false;false
sld;77;false;false
sld;78;false;false
sld;79;false;false
sld;80;false;false
sld;81;false;false
sld;82;false;false
sld;83;false;false
sld;84;false;false
sld;85;false;false
sld;86;false;false
sld;87;false;false
sld;88;false;false
sld;89;false;false
sld;90;false;false
sld;91;false;false
sld;92;false;false
sld;93;false;false
sld;94;false;false
sld;95;false;false
sld;96;false;false
sld;97;false;false
sld;98;false;false
sld;99;false;false
sld;100;false;false
sld;101;false;false
sld;102;false;false
sld;103;false;false
sld;104;false;false
sld;105;false;false
sld;106;false;false
sld;107;false;false
sld;108;false;false
sld;109;false;false
sld;110;false;false
sld;111;false;false
sld;112;false;false
sld;113;false;false
sld;114;false;false
sld;115;false;false
sld;116;false;false
sld;117;false;false
sld;118;false;false
sld;119;false;false
sld;120;false;false
sld;121;false;false
sld;122;false;false
sld;123;false;false
sld;124;false;false
sld;125;false;false
sld;126;false;false
sld;127;false;false
sld;128;false;false
sld;129;false;false
sld;130;false;false
sld;131;false;false
sld;132;false;false
sld;133;false;false
sld;134;false;false
sld;135;false;false
sld;136;false;false
sld;137;false;false
sld;138;false;false
sld;139;false;false
sld;140;false;false
sld;141;false;false
sld;142;false;false
sld;143;false;false
sld;144;false;false
sld;145;false;false
sld;146;false;false
sld;147;false;false
sld;148;false;false
sld;149;false;false
sld;150;false;false
sld;151;false;false
sld;152;false;false
sld;153;false;false
sld;154;false;false
sld;155;false;false
sld;156;false;false
sld;157;false;false
sld;158;false;false
sld;159;false;false
sld;159★;false;false
sld;160;false;false
sld;160★;false;false
sld;161;false;false
sld;161★;false;false
sld;162;false;false
sld;162★;false;false
sld;163;false;false
sld;163★;false;false
sld;164;false;false
sld;165;false;false
sld;166;false;false
sld;167;false;false
sld;173;false;false
sld;174;false;false
sld;175;false;false
sld;176;false;false
sld;177;false;false
sld;178;false;false
sld;185;false;false
sld;186;false;false
sld;187;false;false
sld;188;false;false
sld;189;false;false
sld;190;false;false
sld;191;false;false
sld;192;false;false
sld;193;false;false
sld;194;false;false
sld;195;false;false
sld;196;false;false
sld;197;false;false
sld;198;false;false
sld;199;false;false
sld;200;false;false
sld;201;false;false
sld;202;false;false
sld;203;false;false
sld;204;false;false
sld;205;false;false
sld;206;false;false
sld;207;false;false
sld;208;false;false
sld;209;false;false
sld;210;false;false
sld;211;false;false
sld;212;false;false
sld;213;false;false
sld;214;false;false
sld;215;false;false
sld;216;false;false
sld;217;false;false
sld;218;false;false
sld;219;false;false
sld;220;false;false
sld;221;false;false
sld;222;false;false
sld;223;false;false
sld;224;false;false
sld;225;false;false
sld;226;false;false
sld;227;false;false
sld;228;false;false
sld;229;false;false
sld;230;false;false
sld;231;false;false
sld;232;false;false
sld;233;false;false
sld;234;false;false
sld;235;false;false
sld;236;false;false
sld;237;false;false
sld;238;false;false
sld;239;false;false
sld;240;false;false
sld;241;false;false
sld;242;false;false
sld;243;false;false
sld;244;false;false
sld;245;false;false
sld;246;false;false
sld;247;false;false
sld;248;false;false
sld;249;false;false
sld;250;false;false
sld;251;false;false
sld;252;false;false
sld;253;false;false
sld;254;false;false
sld;255;false;false
sld;256;false;false
sld;257;false;false
sld;258;false;false
sld;259;false;false
sld;260;false;false
sld;261;false;false
sld;262;false;false
sld;263;false;false
sld;268;false;false
sld;269;false;false
sld;270;false;false
sld;271;false;false
sld;272;false;false
sld;273;false;false
sld;274;false;false
sld;275;false;false
sld;276;false;false
sld;277;false;false
sld;278;false;false
sld;279;false;false
sld;280;false;false
sld;281;false;false
sld;282;false;false
sld;283;false;false
sld;284;false;false
sld;285;false;false
sld;286;false;false
sld;287;false;false
sld;288;false;false
sld;289;false;false
sld;290;false;false
sld;291;false;false
sld;292;false;false
sld;293;false;false
sld;294;false;false
sld;295;false;false
sld;296;false;false
sld;297;false;false
sld;298;false;false
sld;299;false;false
sld;300;false;false
sld;301;false;false
sld;302;false;false
sld;303;false;false
sld;304;false;false
sld;305;false;false
sld;306;false;false
sld;307;false;false
sld;308;false;false
sld;309;false;false
sld;310;false;false
sld;311;false;false
sld;312;false;false
sld;313;false;false
sld;314;false;false
sld;315;false;false
sld;316;false;false
sld;317;false;false
sld;318;false;false
sld;319;false;false
sld;320;false;false
sld;321;false;false
sld;322;false;false
sld;323;false;false
sld;324;false;false
sld;325;false;false
sld;326;false;false
sld;327;false;false
sld;328;false;false
sld;329;false;false
sld;330;false;false
sld;331;false;false
sld;332;false;false
sld;333;false;false
sld;334;false;false
sld;335;false;false
sld;336;false;false
sld;337;false;false
sld;338;false;false
sld;339;false;false
sld;340;false;false
sld;341;false;false
sld;342;false;false
sld;343;false;false
sld;344;false;false
sld;345;false;false
sld;346;false;false
sld;347;false;false
sld;348;false;false
sld;349;false;false
sld;350;false;false
sld;351;false;false
sld;352;false;false
sld;353;false;false
sld;354;false;false
sld;355;false;false
sld;356;false;false
sld;357;false;false
sld;358;false;false
sld;359;false;false
sld;360;false;false
sld;361;false;false
sld;362;false;false
sld;363;false;false
sld;364;false;false
sld;365;false;false
sld;366;false;false
