set;number;no_foil;foil
slp;1;false;false
slp;2;false;false
slp;3;false;false
slp;4;false;false
slp;5;false;false
slp;6;false;false
slp;7;false;false
slp;8;false;false
slp;9;false;false
slp;10;false;false
slp;11;false;false
slp;12;false;false
slp;13;false;false
slp;14;false;false
slp;15;false;false
slp;16;false;false
slp;17;false;false
slp;18;false;false
slp;19;false;false
slp;20;false;false
slp;21;false;false
slp;22;false;false
slp;23;false;false
slp;24;false;false
slp;25;false;false
slp;26;false;false
slp;27;false;false
slp;28;false;false
slp;29;false;false
slp;30;false;false
slp;31;false;false
slp;32;false;false
slp;33;false;false
slp;34;false;false
slp;36;false;false
slp;37;false;false
slp;38;false;false
slp;39;false;false
slp;40;false;false
slp;41;false;false
slp;42;false;false
slp;43;false;false
slp;44;false;false
