set;number;no_foil;foil
slx;1;false;false
slx;2;false;false
slx;3;false;false
slx;4;false;false
slx;5;false;false
slx;6;false;false
slx;7;false;false
slx;8;false;false
slx;9;false;false
slx;10;false;false
slx;11;false;false
slx;12;false;false
slx;13;false;false
slx;14;false;false
slx;15;false;false
slx;16;false;false
slx;17;false;false
slx;18;false;false
slx;19;false;false
slx;20;false;false
slx;21;false;false
slx;22;false;false
slx;23;false;false
slx;24;false;false
slx;25;false;false
slx;26;false;false
slx;27;false;false
slx;28;false;false
slx;29;false;false
slx;30;false;false
