set;number;no_foil;foil
snc;1;false;false
snc;2;false;false
snc;3;false;false
snc;4;false;false
snc;5;false;false
snc;6;false;false
snc;A-6;false;false
snc;7;false;false
snc;A-7;false;false
snc;8;false;false
snc;9;false;false
snc;10;false;false
snc;11;false;false
snc;12;false;false
snc;13;false;false
snc;14;false;false
snc;15;false;false
snc;16;false;false
snc;17;false;false
snc;18;false;false
snc;19;false;false
snc;20;false;false
snc;A-20;false;false
snc;21;false;false
snc;22;false;false
snc;23;false;false
snc;24;false;false
snc;25;false;false
snc;26;false;false
snc;27;false;false
snc;28;false;false
snc;29;false;false
snc;30;false;false
snc;31;false;false
snc;32;false;false
snc;A-32;false;false
snc;33;false;false
snc;34;false;false
snc;35;false;false
snc;36;false;false
snc;37;false;false
snc;A-37;false;false
snc;38;false;false
snc;39;false;false
snc;40;false;false
snc;41;false;false
snc;42;false;false
snc;43;false;false
snc;44;false;false
snc;45;false;false
snc;46;false;false
snc;47;false;false
snc;48;false;false
snc;49;false;false
snc;50;false;false
snc;51;false;false
snc;52;false;false
snc;53;false;false
snc;A-53;false;false
snc;54;false;false
snc;55;false;false
snc;A-55;false;false
snc;56;false;false
snc;57;false;false
snc;58;false;false
snc;59;false;false
snc;60;false;false
snc;A-60;false;false
snc;61;false;false
snc;62;false;false
snc;63;false;false
snc;64;false;false
snc;65;false;false
snc;66;false;false
snc;67;false;false
snc;68;false;false
snc;69;false;false
snc;70;false;false
snc;71;false;false
snc;72;false;false
snc;73;false;false
snc;74;false;false
snc;A-74;false;false
snc;75;false;false
snc;A-75;false;false
snc;76;false;false
snc;77;false;false
snc;78;false;false
snc;79;false;false
snc;80;false;false
snc;81;false;false
snc;A-81;false;false
snc;82;false;false
snc;83;false;false
snc;84;false;false
snc;A-84;false;false
snc;85;false;false
snc;86;false;false
snc;87;false;false
snc;A-87;false;false
snc;88;false;false
snc;89;false;false
snc;90;false;false
snc;91;false;false
snc;A-91;false;false
snc;92;false;false
snc;93;false;false
snc;94;false;false
snc;95;false;false
snc;96;false;false
snc;97;false;false
snc;98;false;false
snc;A-98;false;false
snc;99;false;false
snc;100;false;false
snc;101;false;false
snc;102;false;false
snc;103;false;false
snc;104;false;false
snc;105;false;false
snc;106;false;false
snc;A-106;false;false
snc;107;false;false
snc;108;false;false
snc;109;false;false
snc;110;false;false
snc;111;false;false
snc;A-111;false;false
snc;112;false;false
snc;113;false;false
snc;114;false;false
snc;115;false;false
snc;116;false;false
snc;117;false;false
snc;118;false;false
snc;A-118;false;false
snc;119;false;false
snc;A-119;false;false
snc;120;false;false
snc;A-120;false;false
snc;121;false;false
snc;122;false;false
snc;123;false;false
snc;A-123;false;false
snc;124;false;false
snc;125;false;false
snc;126;false;false
snc;127;false;false
snc;128;false;false
snc;129;false;false
snc;130;false;false
snc;131;false;false
snc;132;false;false
snc;133;false;false
snc;134;false;false
snc;135;false;false
snc;136;false;false
snc;137;false;false
snc;138;false;false
snc;139;false;false
snc;A-139;false;false
snc;140;false;false
snc;141;false;false
snc;142;false;false
snc;143;false;false
snc;144;false;false
snc;145;false;false
snc;146;false;false
snc;147;false;false
snc;148;false;false
snc;149;false;false
snc;A-149;false;false
snc;150;false;false
snc;A-150;false;false
snc;151;false;false
snc;152;false;false
snc;153;false;false
snc;A-153;false;false
snc;154;false;false
snc;155;false;false
snc;156;false;false
snc;157;false;false
snc;A-157;false;false
snc;158;false;false
snc;159;false;false
snc;160;false;false
snc;161;false;false
snc;162;false;false
snc;163;false;false
snc;164;false;false
snc;A-164;false;false
snc;165;false;false
snc;166;false;false
snc;167;false;false
snc;168;false;false
snc;169;false;false
snc;170;false;false
snc;171;false;false
snc;172;false;false
snc;173;false;false
snc;A-173;false;false
snc;174;false;false
snc;A-174;false;false
snc;175;false;false
snc;176;false;false
snc;A-176;false;false
snc;177;false;false
snc;178;false;false
snc;179;false;false
snc;180;false;false
snc;181;false;false
snc;182;false;false
snc;183;false;false
snc;184;false;false
snc;185;false;false
snc;186;false;false
snc;187;false;false
snc;188;false;false
snc;189;false;false
snc;A-189;false;false
snc;190;false;false
snc;A-190;false;false
snc;191;false;false
snc;192;false;false
snc;193;false;false
snc;194;false;false
snc;195;false;false
snc;196;false;false
snc;197;false;false
snc;198;false;false
snc;199;false;false
snc;200;false;false
snc;201;false;false
snc;A-201;false;false
snc;202;false;false
snc;203;false;false
snc;A-203;false;false
snc;204;false;false
snc;A-204;false;false
snc;205;false;false
snc;206;false;false
snc;207;false;false
snc;208;false;false
snc;209;false;false
snc;210;false;false
snc;211;false;false
snc;212;false;false
snc;A-212;false;false
snc;213;false;false
snc;214;false;false
snc;A-214;false;false
snc;215;false;false
snc;216;false;false
snc;217;false;false
snc;218;false;false
snc;219;false;false
snc;220;false;false
snc;A-220;false;false
snc;221;false;false
snc;A-221;false;false
snc;222;false;false
snc;223;false;false
snc;224;false;false
snc;A-224;false;false
snc;225;false;false
snc;A-225;false;false
snc;226;false;false
snc;A-226;false;false
snc;227;false;false
snc;228;false;false
snc;229;false;false
snc;230;false;false
snc;231;false;false
snc;232;false;false
snc;233;false;false
snc;234;false;false
snc;235;false;false
snc;236;false;false
snc;237;false;false
snc;238;false;false
snc;239;false;false
snc;240;false;false
snc;241;false;false
snc;A-241;false;false
snc;242;false;false
snc;A-242;false;false
snc;243;false;false
snc;244;false;false
snc;245;false;false
snc;246;false;false
snc;247;false;false
snc;248;false;false
snc;249;false;false
snc;250;false;false
snc;251;false;false
snc;252;false;false
snc;253;false;false
snc;254;false;false
snc;255;false;false
snc;256;false;false
snc;257;false;false
snc;258;false;false
snc;259;false;false
snc;260;false;false
snc;261;false;false
snc;262;false;false
snc;263;false;false
snc;264;false;false
snc;265;false;false
snc;266;false;false
snc;267;false;false
snc;268;false;false
snc;269;false;false
snc;270;false;false
snc;271;false;false
snc;272;false;false
snc;273;false;false
snc;274;false;false
snc;275;false;false
snc;276;false;false
snc;277;false;false
snc;278;false;false
snc;279;false;false
snc;280;false;false
snc;281;false;false
snc;282;false;false
snc;283;false;false
snc;284;false;false
snc;285;false;false
snc;286;false;false
snc;287;false;false
snc;288;false;false
snc;289;false;false
snc;290;false;false
snc;291;false;false
snc;292;false;false
snc;293;false;false
snc;294;false;false
snc;295;false;false
snc;296;false;false
snc;297;false;false
snc;298;false;false
snc;299;false;false
snc;300;false;false
snc;301;false;false
snc;302;false;false
snc;303;false;false
snc;304;false;false
snc;305;false;false
snc;306;false;false
snc;307;false;false
snc;308;false;false
snc;309;false;false
snc;310;false;false
snc;311;false;false
snc;312;false;false
snc;313;false;false
snc;314;false;false
snc;315;false;false
snc;316;false;false
snc;317;false;false
snc;318;false;false
snc;319;false;false
snc;320;false;false
snc;321;false;false
snc;322;false;false
snc;323;false;false
snc;324;false;false
snc;325;false;false
snc;326;false;false
snc;327;false;false
snc;328;false;false
snc;329;false;false
snc;330;false;false
snc;331;false;false
snc;332;false;false
snc;333;false;false
snc;334;false;false
snc;335;false;false
snc;336;false;false
snc;337;false;false
snc;338;false;false
snc;339;false;false
snc;340;false;false
snc;341;false;false
snc;342;false;false
snc;343;false;false
snc;344;false;false
snc;345;false;false
snc;346;false;false
snc;347;false;false
snc;348;false;false
snc;349;false;false
snc;350;false;false
snc;351;false;false
snc;352;false;false
snc;353;false;false
snc;354;false;false
snc;355;false;false
snc;356;false;false
snc;357;false;false
snc;358;false;false
snc;359;false;false
snc;360;false;false
snc;361;false;false
snc;362;false;false
snc;363;false;false
snc;364;false;false
snc;365;false;false
snc;366;false;false
snc;367;false;false
snc;368;false;false
snc;369;false;false
snc;370;false;false
snc;371;false;false
snc;372;false;false
snc;373;false;false
snc;374;false;false
snc;375;false;false
snc;376;false;false
snc;377;false;false
snc;378;false;false
snc;379;false;false
snc;380;false;false
snc;381;false;false
snc;382;false;false
snc;383;false;false
snc;384;false;false
snc;385;false;false
snc;386;false;false
snc;387;false;false
snc;388;false;false
snc;389;false;false
snc;390;false;false
snc;391;false;false
snc;392;false;false
snc;393;false;false
snc;394;false;false
snc;395;false;false
snc;396;false;false
snc;397;false;false
snc;398;false;false
snc;399;false;false
snc;400;false;false
snc;401;false;false
