set;number;no_foil;foil
soi;1;false;false
soi;2;false;false
soi;3;false;false
soi;4;false;false
soi;5;false;false
soi;6;false;false
soi;7;false;false
soi;8;false;false
soi;9;false;false
soi;10;false;false
soi;11;false;false
soi;12;false;false
soi;13;false;false
soi;14;false;false
soi;15;false;false
soi;16;false;false
soi;17;false;false
soi;18;false;false
soi;19;false;false
soi;20;false;false
soi;21;false;false
soi;22;false;false
soi;23;false;false
soi;24;false;false
soi;25;false;false
soi;26;false;false
soi;27;false;false
soi;28;false;false
soi;29;false;false
soi;30;false;false
soi;31;false;false
soi;32;false;false
soi;33;false;false
soi;34;false;false
soi;35;false;false
soi;36;false;false
soi;37;false;false
soi;38;false;false
soi;39;false;false
soi;40;false;false
soi;41;false;false
soi;42;false;false
soi;43;false;false
soi;44;false;false
soi;45;false;false
soi;46;false;false
soi;47;false;false
soi;48;false;false
soi;49;false;false
soi;50;false;false
soi;51;false;false
soi;52;false;false
soi;53;false;false
soi;54;false;false
soi;55;false;false
soi;56;false;false
soi;57;false;false
soi;58;false;false
soi;59;false;false
soi;60;false;false
soi;61;false;false
soi;62;false;false
soi;63;false;false
soi;64;false;false
soi;65;false;false
soi;66;false;false
soi;67;false;false
soi;68;false;false
soi;69;false;false
soi;70;false;false
soi;71;false;false
soi;72;false;false
soi;73;false;false
soi;74;false;false
soi;75;false;false
soi;76;false;false
soi;77;false;false
soi;78;false;false
soi;79;false;false
soi;80;false;false
soi;81;false;false
soi;82;false;false
soi;83;false;false
soi;84;false;false
soi;85;false;false
soi;86;false;false
soi;87;false;false
soi;88;false;false
soi;89;false;false
soi;90;false;false
soi;91;false;false
soi;92;false;false
soi;93;false;false
soi;94;false;false
soi;95;false;false
soi;96;false;false
soi;97;false;false
soi;98;false;false
soi;99;false;false
soi;100;false;false
soi;101;false;false
soi;102;false;false
soi;103;false;false
soi;104;false;false
soi;105;false;false
soi;106;false;false
soi;107;false;false
soi;108;false;false
soi;109;false;false
soi;110;false;false
soi;111;false;false
soi;112;false;false
soi;113;false;false
soi;114;false;false
soi;115;false;false
soi;116;false;false
soi;117;false;false
soi;118;false;false
soi;119;false;false
soi;120;false;false
soi;121;false;false
soi;122;false;false
soi;123;false;false
soi;124;false;false
soi;125;false;false
soi;126;false;false
soi;127;false;false
soi;128;false;false
soi;129;false;false
soi;130;false;false
soi;131;false;false
soi;132;false;false
soi;133;false;false
soi;134;false;false
soi;135;false;false
soi;136;false;false
soi;137;false;false
soi;138;false;false
soi;139;false;false
soi;140;false;false
soi;141;false;false
soi;142;false;false
soi;143;false;false
soi;144;false;false
soi;145;false;false
soi;146;false;false
soi;147;false;false
soi;148;false;false
soi;149;false;false
soi;150;false;false
soi;151;false;false
soi;152;false;false
soi;153;false;false
soi;154;false;false
soi;155;false;false
soi;156;false;false
soi;157;false;false
soi;158;false;false
soi;159;false;false
soi;160;false;false
soi;161;false;false
soi;162;false;false
soi;163;false;false
soi;164;false;false
soi;165;false;false
soi;166;false;false
soi;167;false;false
soi;168;false;false
soi;169;false;false
soi;170;false;false
soi;171;false;false
soi;172;false;false
soi;173;false;false
soi;174;false;false
soi;175;false;false
soi;176;false;false
soi;177;false;false
soi;178;false;false
soi;179;false;false
soi;180;false;false
soi;181;false;false
soi;182;false;false
soi;183;false;false
soi;184;false;false
soi;185;false;false
soi;186;false;false
soi;187;false;false
soi;188;false;false
soi;189;false;false
soi;190;false;false
soi;191;false;false
soi;192;false;false
soi;193;false;false
soi;194;false;false
soi;195;false;false
soi;196;false;false
soi;197;false;false
soi;198;false;false
soi;199;false;false
soi;200;false;false
soi;201;false;false
soi;202;false;false
soi;203;false;false
soi;204;false;false
soi;205;false;false
soi;206;false;false
soi;207;false;false
soi;208;false;false
soi;209;false;false
soi;210;false;false
soi;211;false;false
soi;212;false;false
soi;213;false;false
soi;214;false;false
soi;215;false;false
soi;216;false;false
soi;217;false;false
soi;218;false;false
soi;219;false;false
soi;220;false;false
soi;221;false;false
soi;222;false;false
soi;223;false;false
soi;224;false;false
soi;225;false;false
soi;226;false;false
soi;227;false;false
soi;228;false;false
soi;229;false;false
soi;230;false;false
soi;231;false;false
soi;232;false;false
soi;233;false;false
soi;234;false;false
soi;235;false;false
soi;236;false;false
soi;237;false;false
soi;238;false;false
soi;239;false;false
soi;240;false;false
soi;241;false;false
soi;242;false;false
soi;243;false;false
soi;244;false;false
soi;245;false;false
soi;246;false;false
soi;247;false;false
soi;248;false;false
soi;249;false;false
soi;250;false;false
soi;251;false;false
soi;252;false;false
soi;253;false;false
soi;254;false;false
soi;255;false;false
soi;256;false;false
soi;257;false;false
soi;258;false;false
soi;259;false;false
soi;260;false;false
soi;261;false;false
soi;262;false;false
soi;263;false;false
soi;264;false;false
soi;265;false;false
soi;266;false;false
soi;267;false;false
soi;268;false;false
soi;269;false;false
soi;270;false;false
soi;271;false;false
soi;272;false;false
soi;273;false;false
soi;274;false;false
soi;275;false;false
soi;276;false;false
soi;277;false;false
soi;278;false;false
soi;279;false;false
soi;280;false;false
soi;281;false;false
soi;282;false;false
soi;283;false;false
soi;284;false;false
soi;285;false;false
soi;286;false;false
soi;287;false;false
soi;288;false;false
soi;289;false;false
soi;290;false;false
soi;291;false;false
soi;292;false;false
soi;293;false;false
soi;294;false;false
soi;295;false;false
soi;296;false;false
soi;297;false;false
