set;number;no_foil;foil
sok;1;false;false
sok;2;false;false
sok;3;false;false
sok;4;false;false
sok;5;false;false
sok;6;false;false
sok;7;false;false
sok;8;false;false
sok;9;false;false
sok;10;false;false
sok;11;false;false
sok;12;false;false
sok;13;false;false
sok;14;false;false
sok;15;false;false
sok;16;false;false
sok;17;false;false
sok;18;false;false
sok;19;false;false
sok;20;false;false
sok;21;false;false
sok;22;false;false
sok;23;false;false
sok;24;false;false
sok;25;false;false
sok;26;false;false
sok;27;false;false
sok;28;false;false
sok;29;false;false
sok;30;false;false
sok;31;false;false
sok;32;false;false
sok;33;false;false
sok;34;false;false
sok;35;false;false
sok;36;false;false
sok;37;false;false
sok;38;false;false
sok;39;false;false
sok;40;false;false
sok;41;false;false
sok;42;false;false
sok;43;false;false
sok;44;false;false
sok;45;false;false
sok;46;false;false
sok;47;false;false
sok;48;false;false
sok;49;false;false
sok;50;false;false
sok;51;false;false
sok;52;false;false
sok;53;false;false
sok;54;false;false
sok;55;false;false
sok;56;false;false
sok;57;false;false
sok;58;false;false
sok;59;false;false
sok;60;false;false
sok;61;false;false
sok;62;false;false
sok;63;false;false
sok;64;false;false
sok;65;false;false
sok;66;false;false
sok;67;false;false
sok;68;false;false
sok;69;false;false
sok;70;false;false
sok;71;false;false
sok;72;false;false
sok;73;false;false
sok;74;false;false
sok;75;false;false
sok;76;false;false
sok;77;false;false
sok;78;false;false
sok;79;false;false
sok;80;false;false
sok;81;false;false
sok;82;false;false
sok;83;false;false
sok;84;false;false
sok;85;false;false
sok;86;false;false
sok;87;false;false
sok;88;false;false
sok;89;false;false
sok;90;false;false
sok;91;false;false
sok;92;false;false
sok;93;false;false
sok;94;false;false
sok;95;false;false
sok;96;false;false
sok;97;false;false
sok;98;false;false
sok;99;false;false
sok;100;false;false
sok;101;false;false
sok;102;false;false
sok;103;false;false
sok;104;false;false
sok;105;false;false
sok;106;false;false
sok;107;false;false
sok;108;false;false
sok;109;false;false
sok;110;false;false
sok;111;false;false
sok;112;false;false
sok;113;false;false
sok;114;false;false
sok;115;false;false
sok;116;false;false
sok;117;false;false
sok;118;false;false
sok;119;false;false
sok;120;false;false
sok;121;false;false
sok;122;false;false
sok;123;false;false
sok;124;false;false
sok;125;false;false
sok;126;false;false
sok;127;false;false
sok;128;false;false
sok;129;false;false
sok;130;false;false
sok;131;false;false
sok;132;false;false
sok;133;false;false
sok;134;false;false
sok;135;false;false
sok;136;false;false
sok;137;false;false
sok;138;false;false
sok;139;false;false
sok;140;false;false
sok;141;false;false
sok;142;false;false
sok;143;false;false
sok;144;false;false
sok;145;false;false
sok;146;false;false
sok;147;false;false
sok;148;false;false
sok;149;false;false
sok;150;false;false
sok;151;false;false
sok;152;false;false
sok;153;false;false
sok;154;false;false
sok;155;false;false
sok;156;false;false
sok;157;false;false
sok;158;false;false
sok;159;false;false
sok;160;false;false
sok;161;false;false
sok;162;false;false
sok;163;false;false
sok;164;false;false
sok;165;false;false
