set;number;no_foil;foil
som;1;false;false
som;2;false;false
som;3;false;false
som;4;false;false
som;5;false;false
som;6;false;false
som;7;false;false
som;8;false;false
som;9;false;false
som;10;false;false
som;11;false;false
som;12;false;false
som;13;false;false
som;14;false;false
som;15;false;false
som;16;false;false
som;17;false;false
som;18;false;false
som;19;false;false
som;20;false;false
som;21;false;false
som;22;false;false
som;23;false;false
som;24;false;false
som;25;false;false
som;26;false;false
som;27;false;false
som;28;false;false
som;29;false;false
som;30;false;false
som;31;false;false
som;32;false;false
som;33;false;false
som;34;false;false
som;35;false;false
som;36;false;false
som;37;false;false
som;38;false;false
som;39;false;false
som;40;false;false
som;41;false;false
som;42;false;false
som;43;false;false
som;44;false;false
som;45;false;false
som;46;false;false
som;47;false;false
som;48;false;false
som;49;false;false
som;50;false;false
som;51;false;false
som;52;false;false
som;53;false;false
som;54;false;false
som;55;false;false
som;56;false;false
som;57;false;false
som;58;false;false
som;59;false;false
som;60;false;false
som;61;false;false
som;62;false;false
som;63;false;false
som;64;false;false
som;65;false;false
som;66;false;false
som;67;false;false
som;68;false;false
som;69;false;false
som;70;false;false
som;71;false;false
som;72;false;false
som;73;false;false
som;74;false;false
som;75;false;false
som;76;false;false
som;77;false;false
som;78;false;false
som;79;false;false
som;80;false;false
som;81;false;false
som;82;false;false
som;83;false;false
som;84;false;false
som;85;false;false
som;86;false;false
som;87;false;false
som;88;false;false
som;89;false;false
som;90;false;false
som;91;false;false
som;92;false;false
som;93;false;false
som;94;false;false
som;95;false;false
som;96;false;false
som;97;false;false
som;98;false;false
som;99;false;false
som;100;false;false
som;101;false;false
som;102;false;false
som;103;false;false
som;104;false;false
som;105;false;false
som;106;false;false
som;107;false;false
som;108;false;false
som;109;false;false
som;110;false;false
som;111;false;false
som;112;false;false
som;113;false;false
som;114;false;false
som;115;false;false
som;116;false;false
som;117;false;false
som;118;false;false
som;119;false;false
som;120;false;false
som;121;false;false
som;122;false;false
som;123;false;false
som;124;false;false
som;125;false;false
som;126;false;false
som;127;false;false
som;128;false;false
som;129;false;false
som;130;false;false
som;131;false;false
som;132;false;false
som;133;false;false
som;134;false;false
som;135;false;false
som;136;false;false
som;137;false;false
som;138;false;false
som;139;false;false
som;140;false;false
som;141;false;false
som;142;false;false
som;143;false;false
som;144;false;false
som;145;false;false
som;146;false;false
som;147;false;false
som;148;false;false
som;149;false;false
som;150;false;false
som;151;false;false
som;152;false;false
som;153;false;false
som;154;false;false
som;155;false;false
som;156;false;false
som;157;false;false
som;158;false;false
som;159;false;false
som;160;false;false
som;161;false;false
som;162;false;false
som;163;false;false
som;164;false;false
som;165;false;false
som;166;false;false
som;167;false;false
som;168;false;false
som;169;false;false
som;170;false;false
som;171;false;false
som;172;false;false
som;173;false;false
som;174;false;false
som;175;false;false
som;176;false;false
som;177;false;false
som;178;false;false
som;179;false;false
som;180;false;false
som;181;false;false
som;182;false;false
som;183;false;false
som;184;false;false
som;185;false;false
som;186;false;false
som;187;false;false
som;188;false;false
som;189;false;false
som;190;false;false
som;191;false;false
som;192;false;false
som;193;false;false
som;194;false;false
som;195;false;false
som;196;false;false
som;197;false;false
som;198;false;false
som;199;false;false
som;200;false;false
som;201;false;false
som;202;false;false
som;203;false;false
som;204;false;false
som;205;false;false
som;206;false;false
som;207;false;false
som;208;false;false
som;209;false;false
som;210;false;false
som;211;false;false
som;212;false;false
som;213;false;false
som;214;false;false
som;215;false;false
som;216;false;false
som;217;false;false
som;218;false;false
som;219;false;false
som;220;false;false
som;221;false;false
som;222;false;false
som;223;false;false
som;224;false;false
som;225;false;false
som;226;false;false
som;227;false;false
som;228;false;false
som;229;false;false
som;230;false;false
som;231;false;false
som;232;false;false
som;233;false;false
som;234;false;false
som;235;false;false
som;236;false;false
som;237;false;false
som;238;false;false
som;239;false;false
som;240;false;false
som;241;false;false
som;242;false;false
som;243;false;false
som;244;false;false
som;245;false;false
som;246;false;false
som;247;false;false
som;248;false;false
som;249;false;false
