set;number;no_foil;foil
sta;1;false;false
sta;2;false;false
sta;3;false;false
sta;4;false;false
sta;5;false;false
sta;6;false;false
sta;7;false;false
sta;8;false;false
sta;9;false;false
sta;10;false;false
sta;11;false;false
sta;12;false;false
sta;13;false;false
sta;14;false;false
sta;15;false;false
sta;16;false;false
sta;17;false;false
sta;18;false;false
sta;19;false;false
sta;20;false;false
sta;21;false;false
sta;22;false;false
sta;23;false;false
sta;24;false;false
sta;25;false;false
sta;26;false;false
sta;27;false;false
sta;28;false;false
sta;29;false;false
sta;30;false;false
sta;31;false;false
sta;32;false;false
sta;33;false;false
sta;34;false;false
sta;35;false;false
sta;36;false;false
sta;37;false;false
sta;38;false;false
sta;39;false;false
sta;40;false;false
sta;41;false;false
sta;42;false;false
sta;43;false;false
sta;44;false;false
sta;45;false;false
sta;46;false;false
sta;47;false;false
sta;48;false;false
sta;49;false;false
sta;50;false;false
sta;51;false;false
sta;52;false;false
sta;53;false;false
sta;54;false;false
sta;55;false;false
sta;56;false;false
sta;57;false;false
sta;58;false;false
sta;59;false;false
sta;60;false;false
sta;61;false;false
sta;62;false;false
sta;63;false;false
sta;64;false;false
sta;65;false;false
sta;66;false;false
sta;67;false;false
sta;68;false;false
sta;69;false;false
sta;70;false;false
sta;71;false;false
sta;72;false;false
sta;73;false;false
sta;74;false;false
sta;75;false;false
sta;76;false;false
sta;77;false;false
sta;78;false;false
sta;79;false;false
sta;80;false;false
sta;81;false;false
sta;82;false;false
sta;83;false;false
sta;84;false;false
sta;85;false;false
sta;86;false;false
sta;87;false;false
sta;88;false;false
sta;89;false;false
sta;90;false;false
sta;91;false;false
sta;92;false;false
sta;93;false;false
sta;94;false;false
sta;95;false;false
sta;96;false;false
sta;97;false;false
sta;98;false;false
sta;99;false;false
sta;100;false;false
sta;101;false;false
sta;102;false;false
sta;103;false;false
sta;104;false;false
sta;105;false;false
sta;106;false;false
sta;107;false;false
sta;108;false;false
sta;109;false;false
sta;110;false;false
sta;111;false;false
sta;112;false;false
sta;113;false;false
sta;114;false;false
sta;115;false;false
sta;116;false;false
sta;117;false;false
sta;118;false;false
sta;119;false;false
sta;120;false;false
sta;121;false;false
sta;122;false;false
sta;123;false;false
sta;124;false;false
sta;125;false;false
sta;126;false;false
