set;number;no_foil;foil
sth;1;false;false
sth;2;false;false
sth;3;false;false
sth;4;false;false
sth;5;false;false
sth;6;false;false
sth;7;false;false
sth;8;false;false
sth;9;false;false
sth;10;false;false
sth;11;false;false
sth;12;false;false
sth;13;false;false
sth;14;false;false
sth;15;false;false
sth;16;false;false
sth;17;false;false
sth;18;false;false
sth;19;false;false
sth;20;false;false
sth;21;false;false
sth;22;false;false
sth;23;false;false
sth;24;false;false
sth;25;false;false
sth;26;false;false
sth;27;false;false
sth;28;false;false
sth;29;false;false
sth;30;false;false
sth;31;false;false
sth;32;false;false
sth;33;false;false
sth;34;false;false
sth;35;false;false
sth;36;false;false
sth;37;false;false
sth;38;false;false
sth;39;false;false
sth;40;false;false
sth;41;false;false
sth;42;false;false
sth;43;false;false
sth;44;false;false
sth;45;false;false
sth;46;false;false
sth;47;false;false
sth;48;false;false
sth;49;false;false
sth;50;false;false
sth;51;false;false
sth;52;false;false
sth;53;false;false
sth;54;false;false
sth;55;false;false
sth;56;false;false
sth;57;false;false
sth;58;false;false
sth;59;false;false
sth;60;false;false
sth;61;false;false
sth;62;false;false
sth;63;false;false
sth;64;false;false
sth;65;false;false
sth;66;false;false
sth;67;false;false
sth;68;false;false
sth;69;false;false
sth;70;false;false
sth;71;false;false
sth;72;false;false
sth;73;false;false
sth;74;false;false
sth;75;false;false
sth;76;false;false
sth;77;false;false
sth;78;false;false
sth;79;false;false
sth;80;false;false
sth;81;false;false
sth;82;false;false
sth;83;false;false
sth;84;false;false
sth;85;false;false
sth;86;false;false
sth;87;false;false
sth;88;false;false
sth;89;false;false
sth;90;false;false
sth;91;false;false
sth;92;false;false
sth;93;false;false
sth;94;false;false
sth;95;false;false
sth;96;false;false
sth;97;false;false
sth;98;false;false
sth;99;false;false
sth;100;false;false
sth;101;false;false
sth;102;false;false
sth;103;false;false
sth;104;false;false
sth;105;false;false
sth;106;false;false
sth;107;false;false
sth;108;false;false
sth;109;false;false
sth;110;false;false
sth;111;false;false
sth;112;false;false
sth;113;false;false
sth;114;false;false
sth;115;false;false
sth;116;false;false
sth;117;false;false
sth;118;false;false
sth;119;false;false
sth;120;false;false
sth;121;false;false
sth;122;false;false
sth;123;false;false
sth;124;false;false
sth;125;false;false
sth;126;false;false
sth;127;false;false
sth;128;false;false
sth;129;false;false
sth;130;false;false
sth;131;false;false
sth;132;false;false
sth;133;false;false
sth;134;false;false
sth;135;false;false
sth;136;false;false
sth;137;false;false
sth;138;false;false
sth;139;false;false
sth;140;false;false
sth;141;false;false
sth;142;false;false
sth;143;false;false
