set;number;no_foil;foil
sum;1;false;false
sum;2;false;false
sum;3;false;false
sum;4;false;false
sum;5;false;false
sum;6;false;false
sum;7;false;false
sum;8;false;false
sum;9;false;false
sum;10;false;false
sum;11;false;false
sum;12;false;false
sum;13;false;false
sum;14;false;false
sum;15;false;false
sum;16;false;false
sum;17;false;false
sum;18;false;false
sum;19;false;false
sum;20;false;false
sum;21;false;false
sum;22;false;false
sum;23;false;false
sum;24;false;false
sum;25;false;false
sum;26;false;false
sum;27;false;false
sum;28;false;false
sum;29;false;false
sum;30;false;false
sum;31;false;false
sum;32;false;false
sum;33;false;false
sum;34;false;false
sum;35;false;false
sum;36;false;false
sum;37;false;false
sum;38;false;false
sum;39;false;false
sum;40;false;false
sum;41;false;false
sum;42;false;false
sum;43;false;false
sum;44;false;false
sum;45;false;false
sum;46;false;false
sum;47;false;false
sum;48;false;false
sum;49;false;false
sum;50;false;false
sum;51;false;false
sum;52;false;false
sum;53;false;false
sum;54;false;false
sum;55;false;false
sum;56;false;false
sum;57;false;false
sum;58;false;false
sum;59;false;false
sum;60;false;false
sum;61;false;false
sum;62;false;false
sum;63;false;false
sum;64;false;false
sum;65;false;false
sum;66;false;false
sum;67;false;false
sum;68;false;false
sum;69;false;false
sum;70;false;false
sum;71;false;false
sum;72;false;false
sum;73;false;false
sum;74;false;false
sum;75;false;false
sum;76;false;false
sum;77;false;false
sum;78;false;false
sum;79;false;false
sum;80;false;false
sum;81;false;false
sum;82;false;false
sum;83;false;false
sum;84;false;false
sum;85;false;false
sum;86;false;false
sum;87;false;false
sum;88;false;false
sum;89;false;false
sum;90;false;false
sum;91;false;false
sum;92;false;false
sum;93;false;false
sum;94;false;false
sum;95;false;false
sum;96;false;false
sum;97;false;false
sum;98;false;false
sum;99;false;false
sum;100;false;false
sum;101;false;false
sum;102;false;false
sum;103;false;false
sum;104;false;false
sum;105;false;false
sum;106;false;false
sum;107;false;false
sum;108;false;false
sum;109;false;false
sum;110;false;false
sum;111;false;false
sum;112;false;false
sum;113;false;false
sum;114;false;false
sum;115;false;false
sum;116;false;false
sum;117;false;false
sum;118;false;false
sum;119;false;false
sum;120;false;false
sum;121;false;false
sum;122;false;false
sum;123;false;false
sum;124;false;false
sum;125;false;false
sum;126;false;false
sum;127;false;false
sum;128;false;false
sum;129;false;false
sum;130;false;false
sum;131;false;false
sum;132;false;false
sum;133;false;false
sum;134;false;false
sum;135;false;false
sum;136;false;false
sum;137;false;false
sum;138;false;false
sum;139;false;false
sum;140;false;false
sum;141;false;false
sum;142;false;false
sum;143;false;false
sum;144;false;false
sum;145;false;false
sum;146;false;false
sum;147;false;false
sum;148;false;false
sum;149;false;false
sum;150;false;false
sum;151;false;false
sum;152;false;false
sum;153;false;false
sum;154;false;false
sum;155;false;false
sum;156;false;false
sum;157;false;false
sum;158;false;false
sum;159;false;false
sum;160;false;false
sum;161;false;false
sum;162;false;false
sum;163;false;false
sum;164;false;false
sum;165;false;false
sum;166;false;false
sum;167;false;false
sum;168;false;false
sum;169;false;false
sum;170;false;false
sum;171;false;false
sum;172;false;false
sum;173;false;false
sum;174;false;false
sum;175;false;false
sum;176;false;false
sum;177;false;false
sum;178;false;false
sum;179;false;false
sum;180;false;false
sum;181;false;false
sum;182;false;false
sum;183;false;false
sum;184;false;false
sum;185;false;false
sum;186;false;false
sum;187;false;false
sum;188;false;false
sum;189;false;false
sum;190;false;false
sum;191;false;false
sum;192;false;false
sum;193;false;false
sum;194;false;false
sum;195;false;false
sum;196;false;false
sum;197;false;false
sum;198;false;false
sum;199;false;false
sum;200;false;false
sum;201;false;false
sum;202;false;false
sum;203;false;false
sum;204;false;false
sum;205;false;false
sum;206;false;false
sum;207;false;false
sum;208;false;false
sum;209;false;false
sum;210;false;false
sum;211;false;false
sum;212;false;false
sum;213;false;false
sum;214;false;false
sum;215;false;false
sum;216;false;false
sum;217;false;false
sum;218;false;false
sum;219;false;false
sum;220;false;false
sum;221;false;false
sum;222;false;false
sum;223;false;false
sum;224;false;false
sum;225;false;false
sum;226;false;false
sum;227;false;false
sum;228;false;false
sum;229;false;false
sum;230;false;false
sum;231;false;false
sum;232;false;false
sum;233;false;false
sum;234;false;false
sum;235;false;false
sum;236;false;false
sum;237;false;false
sum;238;false;false
sum;239;false;false
sum;240;false;false
sum;241;false;false
sum;242;false;false
sum;243;false;false
sum;244;false;false
sum;245;false;false
sum;246;false;false
sum;247;false;false
sum;248;false;false
sum;249;false;false
sum;250;false;false
sum;251;false;false
sum;252;false;false
sum;253;false;false
sum;254;false;false
sum;255;false;false
sum;256;false;false
sum;257;false;false
sum;258;false;false
sum;259;false;false
sum;260;false;false
sum;261;false;false
sum;262;false;false
sum;263;false;false
sum;264;false;false
sum;265;false;false
sum;266;false;false
sum;267;false;false
sum;268;false;false
sum;269;false;false
sum;270;false;false
sum;271;false;false
sum;272;false;false
sum;273;false;false
sum;274;false;false
sum;275;false;false
sum;276;false;false
sum;277;false;false
sum;278;false;false
sum;279;false;false
sum;280;false;false
sum;281;false;false
sum;282;false;false
sum;283;false;false
sum;284;false;false
sum;285;false;false
sum;286;false;false
sum;287;false;false
sum;288;false;false
sum;289;false;false
sum;290;false;false
sum;291;false;false
sum;292;false;false
sum;293;false;false
sum;294;false;false
sum;295;false;false
sum;296;false;false
sum;297;false;false
sum;298;false;false
sum;299;false;false
sum;300;false;false
sum;301;false;false
sum;302;false;false
sum;303;false;false
sum;304;false;false
sum;305;false;false
sum;306;false;false
