set;number;no_foil;foil
t2xm;1;false;false
t2xm;2;false;false
t2xm;3;false;false
t2xm;4;false;false
t2xm;5;false;false
t2xm;6;false;false
t2xm;7;false;false
t2xm;8;false;false
t2xm;9;false;false
t2xm;10;false;false
t2xm;11;false;false
t2xm;12;false;false
t2xm;13;false;false
t2xm;14;false;false
t2xm;15;false;false
t2xm;16;false;false
t2xm;17;false;false
t2xm;18;false;false
t2xm;19;false;false
t2xm;20;false;false
t2xm;21;false;false
t2xm;22;false;false
t2xm;23;false;false
t2xm;24;false;false
t2xm;25;false;false
t2xm;26;false;false
t2xm;27;false;false
t2xm;28;false;false
t2xm;29;false;false
t2xm;30;false;false
t2xm;31;false;false
