set;number;no_foil;foil
t40k;1;false;false
t40k;1★;false;false
t40k;2;false;false
t40k;2★;false;false
t40k;3;false;false
t40k;3★;false;false
t40k;4;false;false
t40k;4★;false;false
t40k;5;false;false
t40k;6;false;false
t40k;7;false;false
t40k;8;false;false
t40k;9;false;false
t40k;10;false;false
t40k;11;false;false
t40k;12;false;false
t40k;13;false;false
t40k;14;false;false
t40k;14★;false;false
t40k;15;false;false
t40k;15★;false;false
t40k;16;false;false
t40k;16★;false;false
t40k;17;false;false
t40k;17★;false;false
t40k;18;false;false
t40k;19;false;false
t40k;20;false;false
t40k;21;false;false
t40k;22;false;false
t40k;23;false;false
