set;number;no_foil;foil
takh;1;false;false
takh;2;false;false
takh;3;false;false
takh;4;false;false
takh;5;false;false
takh;6;false;false
takh;7;false;false
takh;8;false;false
takh;9;false;false
takh;10;false;false
takh;11;false;false
takh;12;false;false
takh;13;false;false
takh;14;false;false
takh;15;false;false
takh;16;false;false
takh;17;false;false
takh;18;false;false
takh;19;false;false
takh;20;false;false
takh;21;false;false
takh;22;false;false
takh;23;false;false
takh;24;false;false
takh;25;false;false
takh;26;false;false
