set;number;no_foil;foil
tblb;1;false;false
tblb;2;false;false
tblb;3;false;false
tblb;4;false;false
tblb;5;false;false
tblb;6;false;false
tblb;7;false;false
tblb;8;false;false
tblb;9;false;false
tblb;10;false;false
tblb;11;false;false
tblb;12;false;false
tblb;13;false;false
tblb;14;false;false
tblb;15;false;false
tblb;16;false;false
tblb;17;false;false
tblb;18;false;false
tblb;19;false;false
tblb;20;false;false
tblb;21;false;false
tblb;22;false;false
tblb;23;false;false
tblb;24;false;false
tblb;25;false;false
tblb;26;false;false
tblb;27;false;false
tblb;28;false;false
tblb;29;false;false
tblb;30;false;false
