set;number;no_foil;foil
tblc;1;false;false
tblc;2;false;false
tblc;3;false;false
tblc;4;false;false
tblc;5;false;false
tblc;6;false;false
tblc;7;false;false
tblc;8;false;false
tblc;9;false;false
tblc;10;false;false
tblc;11;false;false
tblc;12;false;false
tblc;13;false;false
tblc;14;false;false
tblc;15;false;false
tblc;16;false;false
tblc;17;false;false
tblc;18;false;false
tblc;19;false;false
tblc;20;false;false
tblc;21;false;false
tblc;22;false;false
tblc;23;false;false
tblc;24;false;false
tblc;25;false;false
tblc;26;false;false
tblc;27;false;false
tblc;28;false;false
tblc;29;false;false
tblc;30;false;false
tblc;31;false;false
tblc;32;false;false
tblc;33;false;false
tblc;34;false;false
tblc;35;false;false
tblc;36;false;false
tblc;37;false;false
tblc;38;false;false
tblc;39;false;false
tblc;40;false;false
tblc;41;false;false
