set;number;no_foil;foil
tc19;1;false;false
tc19;2;false;false
tc19;3;false;false
tc19;4;false;false
tc19;5;false;false
tc19;6;false;false
tc19;7;false;false
tc19;8;false;false
tc19;9;false;false
tc19;10;false;false
tc19;11;false;false
tc19;12;false;false
tc19;13;false;false
tc19;14;false;false
tc19;15;false;false
tc19;16;false;false
tc19;17;false;false
tc19;18;false;false
tc19;19;false;false
tc19;20;false;false
tc19;21;false;false
tc19;22;false;false
tc19;23;false;false
tc19;24;false;false
tc19;25;false;false
tc19;26;false;false
tc19;27;false;false
tc19;28;false;false
tc19;29;false;false
