set;number;no_foil;foil
tclb;0;false;false
tclb;1;false;false
tclb;2;false;false
tclb;3;false;false
tclb;4;false;false
tclb;5;false;false
tclb;6;false;false
tclb;7;false;false
tclb;8;false;false
tclb;9;false;false
tclb;10;false;false
tclb;11;false;false
tclb;12;false;false
tclb;13;false;false
tclb;14;false;false
tclb;15;false;false
tclb;16;false;false
tclb;17;false;false
tclb;18;false;false
tclb;19;false;false
tclb;20;false;false
tclb;21;false;false
tclb;22;false;false
tclb;23;false;false
tclb;24;false;false
tclb;25;false;false
tclb;26;false;false
tclb;27;false;false
tclb;28;false;false
tclb;29;false;false
tclb;30;false;false
tclb;31;false;false
tclb;32;false;false
tclb;33;false;false
tclb;34;false;false
tclb;35;false;false
tclb;36;false;false
tclb;37;false;false
tclb;38;false;false
tclb;39;false;false
tclb;40;false;false
tclb;41;false;false
tclb;42;false;false
tclb;43;false;false
tclb;44;false;false
tclb;45;false;false
tclb;46;false;false
tclb;47;false;false
tclb;48;false;false
tclb;49;false;false
tclb;50;false;false
