set;number;no_foil;foil
tcmm;1;false;false
tcmm;2;false;false
tcmm;3;false;false
tcmm;4;false;false
tcmm;5;false;false
tcmm;6;false;false
tcmm;7;false;false
tcmm;8;false;false
tcmm;9;false;false
tcmm;10;false;false
tcmm;11;false;false
tcmm;12;false;false
tcmm;13;false;false
tcmm;14;false;false
tcmm;15;false;false
tcmm;16;false;false
tcmm;17;false;false
tcmm;18;false;false
tcmm;19;false;false
tcmm;20;false;false
tcmm;21;false;false
tcmm;22;false;false
tcmm;23;false;false
tcmm;24;false;false
tcmm;25;false;false
tcmm;26;false;false
tcmm;27;false;false
tcmm;28;false;false
tcmm;29;false;false
tcmm;30;false;false
tcmm;31;false;false
tcmm;32;false;false
tcmm;33;false;false
tcmm;34;false;false
tcmm;35;false;false
tcmm;36;false;false
tcmm;37;false;false
tcmm;38;false;false
tcmm;39;false;false
tcmm;40;false;false
tcmm;41;false;false
tcmm;42;false;false
tcmm;43;false;false
tcmm;44;false;false
tcmm;45;false;false
tcmm;46;false;false
tcmm;47;false;false
tcmm;48;false;false
tcmm;49;false;false
tcmm;50;false;false
tcmm;51;false;false
tcmm;52;false;false
tcmm;53;false;false
tcmm;54;false;false
tcmm;55;false;false
tcmm;56;false;false
tcmm;57;false;false
tcmm;58;false;false
tcmm;59;false;false
tcmm;60;false;false
tcmm;61;false;false
tcmm;62;false;false
tcmm;63;false;false
tcmm;64;false;false
tcmm;65;false;false
tcmm;66;false;false
tcmm;67;false;false
tcmm;68;false;false
tcmm;69;false;false
tcmm;70;false;false
tcmm;71;false;false
tcmm;72;false;false
tcmm;73;false;false
tcmm;74;false;false
tcmm;75;false;false
tcmm;76;false;false
tcmm;77;false;false
tcmm;78;false;false
tcmm;79;false;false
tcmm;80;false;false
tcmm;81;false;false
