set;number;no_foil;foil
td2;1;false;false
td2;2;false;false
td2;3;false;false
td2;4;false;false
td2;5;false;false
td2;6;false;false
td2;7;false;false
td2;8;false;false
td2;9;false;false
td2;10;false;false
td2;11;false;false
td2;12;false;false
td2;13;false;false
td2;14;false;false
td2;15;false;false
td2;16;false;false
td2;17;false;false
td2;18;false;false
td2;19;false;false
td2;20;false;false
td2;21;false;false
td2;22;false;false
td2;23;false;false
td2;24;false;false
td2;25;false;false
td2;26;false;false
td2;27;false;false
td2;28;false;false
td2;29;false;false
td2;30;false;false
td2;31;false;false
td2;32;false;false
td2;33;false;false
td2;34;false;false
td2;35;false;false
td2;36;false;false
td2;37;false;false
td2;38;false;false
td2;39;false;false
td2;40;false;false
td2;41;false;false
td2;42;false;false
td2;43;false;false
td2;44;false;false
td2;45;false;false
td2;46;false;false
td2;47;false;false
td2;48;false;false
td2;49;false;false
td2;50;false;false
td2;51;false;false
td2;52;false;false
td2;53;false;false
td2;54;false;false
td2;55;false;false
td2;56;false;false
td2;57;false;false
td2;58;false;false
td2;59;false;false
td2;60;false;false
td2;61;false;false
td2;62;false;false
td2;63;false;false
td2;64;false;false
td2;65;false;false
td2;66;false;false
td2;67;false;false
td2;68;false;false
td2;69;false;false
td2;70;false;false
td2;71;false;false
td2;72;false;false
td2;73;false;false
td2;74;false;false
td2;75;false;false
td2;76;false;false
td2;77;false;false
td2;78;false;false
td2;79;false;false
td2;80;false;false
td2;81;false;false
td2;82;false;false
td2;83;false;false
td2;84;false;false
td2;85;false;false
td2;86;false;false
td2;87;false;false
td2;88;false;false
