set;number;no_foil;foil
tdm;1;false;false
tdm;2;false;false
tdm;3;false;false
tdm;4;false;false
tdm;5;false;false
tdm;6;false;false
tdm;7;false;false
tdm;8;false;false
tdm;9;false;false
tdm;10;false;false
tdm;11;false;false
tdm;12;false;false
tdm;13;false;false
tdm;14;false;false
tdm;15;false;false
tdm;16;false;false
tdm;17;false;false
tdm;18;false;false
tdm;19;false;false
tdm;20;false;false
tdm;21;false;false
tdm;22;false;false
tdm;23;false;false
tdm;24;false;false
tdm;25;false;false
tdm;26;false;false
tdm;27;false;false
tdm;28;false;false
tdm;29;false;false
tdm;30;false;false
tdm;31;false;false
tdm;32;false;false
tdm;33;false;false
tdm;34;false;false
tdm;35;false;false
tdm;36;false;false
tdm;37;false;false
tdm;38;false;false
tdm;39;false;false
tdm;40;false;false
tdm;41;false;false
tdm;42;false;false
tdm;43;false;false
tdm;44;false;false
tdm;45;false;false
tdm;46;false;false
tdm;47;false;false
tdm;48;false;false
tdm;49;false;false
tdm;50;false;false
tdm;51;false;false
tdm;52;false;false
tdm;53;false;false
tdm;54;false;false
tdm;55;false;false
tdm;56;false;false
tdm;57;false;false
tdm;58;false;false
tdm;59;false;false
tdm;60;false;false
tdm;61;false;false
tdm;62;false;false
tdm;63;false;false
tdm;64;false;false
tdm;65;false;false
tdm;66;false;false
tdm;67;false;false
tdm;68;false;false
tdm;69;false;false
tdm;70;false;false
tdm;71;false;false
tdm;72;false;false
tdm;73;false;false
tdm;74;false;false
tdm;75;false;false
tdm;76;false;false
tdm;77;false;false
tdm;78;false;false
tdm;79;false;false
tdm;80;false;false
tdm;81;false;false
tdm;82;false;false
tdm;83;false;false
tdm;84;false;false
tdm;85;false;false
tdm;86;false;false
tdm;87;false;false
tdm;88;false;false
tdm;89;false;false
tdm;90;false;false
tdm;91;false;false
tdm;92;false;false
tdm;93;false;false
tdm;94;false;false
tdm;95;false;false
tdm;96;false;false
tdm;97;false;false
tdm;98;false;false
tdm;99;false;false
tdm;100;false;false
tdm;101;false;false
tdm;102;false;false
tdm;103;false;false
tdm;104;false;false
tdm;105;false;false
tdm;106;false;false
tdm;107;false;false
tdm;108;false;false
tdm;109;false;false
tdm;110;false;false
tdm;111;false;false
tdm;112;false;false
tdm;113;false;false
tdm;114;false;false
tdm;115;false;false
tdm;116;false;false
tdm;117;false;false
tdm;118;false;false
tdm;119;false;false
tdm;120;false;false
tdm;121;false;false
tdm;122;false;false
tdm;123;false;false
tdm;124;false;false
tdm;125;false;false
tdm;126;false;false
tdm;127;false;false
tdm;128;false;false
tdm;129;false;false
tdm;130;false;false
tdm;131;false;false
tdm;132;false;false
tdm;133;false;false
tdm;134;false;false
tdm;135;false;false
tdm;136;false;false
tdm;137;false;false
tdm;138;false;false
tdm;139;false;false
tdm;140;false;false
tdm;141;false;false
tdm;142;false;false
tdm;143;false;false
tdm;144;false;false
tdm;145;false;false
tdm;146;false;false
tdm;147;false;false
tdm;148;false;false
tdm;149;false;false
tdm;150;false;false
tdm;151;false;false
tdm;152;false;false
