set;number;no_foil;foil
tdmu;1;false;false
tdmu;2;false;false
tdmu;3;false;false
tdmu;4;false;false
tdmu;5;false;false
tdmu;6;false;false
tdmu;7;false;false
tdmu;8;false;false
tdmu;9;false;false
tdmu;10;false;false
tdmu;11;false;false
tdmu;12;false;false
tdmu;13;false;false
tdmu;14;false;false
tdmu;15;false;false
tdmu;16;false;false
tdmu;17;false;false
tdmu;18;false;false
tdmu;19;false;false
tdmu;20;false;false
tdmu;21;false;false
tdmu;22;false;false
tdmu;23;false;false
tdmu;24;false;false
tdmu;25;false;false
tdmu;26;false;false
