set;number;no_foil;foil
tfdn;1;false;false
tfdn;2;false;false
tfdn;3;false;false
tfdn;4;false;false
tfdn;5;false;false
tfdn;6;false;false
tfdn;7;false;false
tfdn;8;false;false
tfdn;9;false;false
tfdn;10;false;false
tfdn;11;false;false
tfdn;12;false;false
tfdn;13;false;false
tfdn;14;false;false
tfdn;15;false;false
tfdn;16;false;false
tfdn;17;false;false
tfdn;18;false;false
tfdn;19;false;false
tfdn;20;false;false
tfdn;21;false;false
tfdn;22;false;false
tfdn;23;false;false
tfdn;24;false;false
tfdn;25;false;false
tfdn;26;false;false
tfdn;27;false;false
tfdn;28;false;false
tfdn;29;false;false
tfdn;30;false;false
tfdn;31;false;false
tfdn;32;false;false
tfdn;33;false;false
