set;number;no_foil;foil
tfin;1;false;false
tfin;2;false;false
tfin;3;false;false
tfin;4;false;false
tfin;5;false;false
tfin;6;false;false
tfin;7;false;false
tfin;8;false;false
tfin;9;false;false
tfin;10;false;false
tfin;11;false;false
tfin;12;false;false
tfin;13;false;false
tfin;14;false;false
tfin;15;false;false
tfin;16;false;false
tfin;17;false;false
tfin;18;false;false
tfin;19;false;false
tfin;20;false;false
tfin;21;false;false
tfin;22;false;false
tfin;23;false;false
tfin;24;false;false
tfin;25;false;false
tfin;26;false;false
tfin;27;false;false
tfin;28;false;false
tfin;29;false;false
tfin;30;false;false
tfin;31;false;false
tfin;32;false;false
tfin;33;false;false
tfin;34;false;false
tfin;35;false;false
tfin;36;false;false
tfin;37;false;false
