set;number;no_foil;foil
thb;1;false;false
thb;2;false;false
thb;3;false;false
thb;4;false;false
thb;5;false;false
thb;6;false;false
thb;7;false;false
thb;8;false;false
thb;9;false;false
thb;10;false;false
thb;11;false;false
thb;12;false;false
thb;13;false;false
thb;14;false;false
thb;15;false;false
thb;16;false;false
thb;17;false;false
thb;18;false;false
thb;19;false;false
thb;20;false;false
thb;21;false;false
thb;22;false;false
thb;23;false;false
thb;24;false;false
thb;25;false;false
thb;26;false;false
thb;27;false;false
thb;28;false;false
thb;29;false;false
thb;30;false;false
thb;31;false;false
thb;32;false;false
thb;33;false;false
thb;34;false;false
thb;35;false;false
thb;36;false;false
thb;37;false;false
thb;38;false;false
thb;39;false;false
thb;40;false;false
thb;41;false;false
thb;42;false;false
thb;43;false;false
thb;44;false;false
thb;45;false;false
thb;46;false;false
thb;47;false;false
thb;48;false;false
thb;49;false;false
thb;50;false;false
thb;51;false;false
thb;52;false;false
thb;53;false;false
thb;54;false;false
thb;55;false;false
thb;56;false;false
thb;57;false;false
thb;58;false;false
thb;59;false;false
thb;60;false;false
thb;61;false;false
thb;62;false;false
thb;63;false;false
thb;64;false;false
thb;65;false;false
thb;66;false;false
thb;67;false;false
thb;68;false;false
thb;69;false;false
thb;70;false;false
thb;71;false;false
thb;72;false;false
thb;73;false;false
thb;74;false;false
thb;75;false;false
thb;76;false;false
thb;77;false;false
thb;78;false;false
thb;79;false;false
thb;80;false;false
thb;81;false;false
thb;82;false;false
thb;83;false;false
thb;84;false;false
thb;85;false;false
thb;86;false;false
thb;87;false;false
thb;88;false;false
thb;89;false;false
thb;90;false;false
thb;91;false;false
thb;92;false;false
thb;93;false;false
thb;94;false;false
thb;95;false;false
thb;96;false;false
thb;97;false;false
thb;98;false;false
thb;99;false;false
thb;100;false;false
thb;101;false;false
thb;102;false;false
thb;103;false;false
thb;104;false;false
thb;105;false;false
thb;106;false;false
thb;107;false;false
thb;108;false;false
thb;109;false;false
thb;110;false;false
thb;111;false;false
thb;112;false;false
thb;113;false;false
thb;114;false;false
thb;115;false;false
thb;116;false;false
thb;117;false;false
thb;118;false;false
thb;119;false;false
thb;120;false;false
thb;121;false;false
thb;122;false;false
thb;123;false;false
thb;124;false;false
thb;125;false;false
thb;126;false;false
thb;127;false;false
thb;128;false;false
thb;129;false;false
thb;130;false;false
thb;131;false;false
thb;132;false;false
thb;133;false;false
thb;134;false;false
thb;135;false;false
thb;136;false;false
thb;137;false;false
thb;138;false;false
thb;139;false;false
thb;140;false;false
thb;141;false;false
thb;142;false;false
thb;143;false;false
thb;144;false;false
thb;145;false;false
thb;146;false;false
thb;147;false;false
thb;148;false;false
thb;149;false;false
thb;150;false;false
thb;151;false;false
thb;152;false;false
thb;153;false;false
thb;154;false;false
thb;155;false;false
thb;156;false;false
thb;157;false;false
thb;158;false;false
thb;159;false;false
thb;160;false;false
thb;161;false;false
thb;162;false;false
thb;163;false;false
thb;164;false;false
thb;165;false;false
thb;166;false;false
thb;167;false;false
thb;168;false;false
thb;169;false;false
thb;170;false;false
thb;171;false;false
thb;172;false;false
thb;173;false;false
thb;174;false;false
thb;175;false;false
thb;176;false;false
thb;177;false;false
thb;178;false;false
thb;179;false;false
thb;180;false;false
thb;181;false;false
thb;182;false;false
thb;183;false;false
thb;184;false;false
thb;185;false;false
thb;186;false;false
thb;187;false;false
thb;188;false;false
thb;189;false;false
thb;190;false;false
thb;191;false;false
thb;192;false;false
thb;193;false;false
thb;194;false;false
thb;195;false;false
thb;196;false;false
thb;197;false;false
thb;198;false;false
thb;199;false;false
thb;200;false;false
thb;201;false;false
thb;202;false;false
thb;203;false;false
thb;204;false;false
thb;205;false;false
thb;206;false;false
thb;207;false;false
thb;208;false;false
thb;209;false;false
thb;210;false;false
thb;211;false;false
thb;212;false;false
thb;213;false;false
thb;214;false;false
thb;215;false;false
thb;216;false;false
thb;217;false;false
thb;218;false;false
thb;219;false;false
thb;220;false;false
thb;221;false;false
thb;222;false;false
thb;223;false;false
thb;224;false;false
thb;225;false;false
thb;226;false;false
thb;227;false;false
thb;228;false;false
thb;229;false;false
thb;230;false;false
thb;231;false;false
thb;232;false;false
thb;233;false;false
thb;234;false;false
thb;235;false;false
thb;236;false;false
thb;237;false;false
thb;238;false;false
thb;239;false;false
thb;240;false;false
thb;241;false;false
thb;242;false;false
thb;243;false;false
thb;244;false;false
thb;245;false;false
thb;246;false;false
thb;247;false;false
thb;248;false;false
thb;249;false;false
thb;250;false;false
thb;251;false;false
thb;252;false;false
thb;253;false;false
thb;254;false;false
thb;255;false;false
thb;256;false;false
thb;257;false;false
thb;258;false;false
thb;259;false;false
thb;260;false;false
thb;261;false;false
thb;262;false;false
thb;263;false;false
thb;264;false;false
thb;265;false;false
thb;266;false;false
thb;267;false;false
thb;268;false;false
thb;269;false;false
thb;270;false;false
thb;271;false;false
thb;272;false;false
thb;273;false;false
thb;274;false;false
thb;275;false;false
thb;276;false;false
thb;277;false;false
thb;278;false;false
thb;279;false;false
thb;280;false;false
thb;281;false;false
thb;282;false;false
thb;283;false;false
thb;284;false;false
thb;285;false;false
thb;286;false;false
thb;287;false;false
thb;288;false;false
thb;289;false;false
thb;290;false;false
thb;291;false;false
thb;292;false;false
thb;293;false;false
thb;294;false;false
thb;295;false;false
thb;296;false;false
thb;297;false;false
thb;298;false;false
thb;299;false;false
thb;300;false;false
thb;301;false;false
thb;302;false;false
thb;303;false;false
thb;304;false;false
thb;305;false;false
thb;306;false;false
thb;307;false;false
thb;308;false;false
thb;309;false;false
thb;310;false;false
thb;311;false;false
thb;312;false;false
thb;313;false;false
thb;314;false;false
thb;315;false;false
thb;316;false;false
thb;317;false;false
thb;318;false;false
thb;319;false;false
thb;320;false;false
thb;321;false;false
thb;322;false;false
thb;323;false;false
thb;324;false;false
thb;325;false;false
thb;326;false;false
thb;327;false;false
thb;328;false;false
thb;329;false;false
thb;330;false;false
thb;331;false;false
thb;332;false;false
thb;333;false;false
thb;334;false;false
thb;335;false;false
thb;336;false;false
thb;337;false;false
thb;338;false;false
thb;339;false;false
thb;340;false;false
thb;341;false;false
thb;342;false;false
thb;343;false;false
thb;344;false;false
thb;345;false;false
thb;346;false;false
thb;347;false;false
thb;347★;false;false
thb;348;false;false
thb;349;false;false
thb;350;false;false
thb;351;false;false
thb;352;false;false
thb;353;false;false
thb;354;false;false
thb;355;false;false
thb;356;false;false
thb;357;false;false
