set;number;no_foil;foil
ths;1;false;false
ths;2;false;false
ths;3;false;false
ths;4;false;false
ths;5;false;false
ths;6;false;false
ths;7;false;false
ths;8;false;false
ths;9;false;false
ths;10;false;false
ths;11;false;false
ths;12;false;false
ths;13;false;false
ths;14;false;false
ths;15;false;false
ths;16;false;false
ths;17;false;false
ths;18;false;false
ths;19;false;false
ths;20;false;false
ths;21;false;false
ths;22;false;false
ths;23;false;false
ths;24;false;false
ths;25;false;false
ths;26;false;false
ths;27;false;false
ths;28;false;false
ths;29;false;false
ths;30;false;false
ths;31;false;false
ths;32;false;false
ths;33;false;false
ths;34;false;false
ths;35;false;false
ths;36;false;false
ths;37;false;false
ths;38;false;false
ths;39;false;false
ths;40;false;false
ths;41;false;false
ths;42;false;false
ths;43;false;false
ths;44;false;false
ths;45;false;false
ths;46;false;false
ths;47;false;false
ths;48;false;false
ths;49;false;false
ths;50;false;false
ths;51;false;false
ths;52;false;false
ths;53;false;false
ths;54;false;false
ths;55;false;false
ths;56;false;false
ths;57;false;false
ths;58;false;false
ths;59;false;false
ths;60;false;false
ths;61;false;false
ths;62;false;false
ths;63;false;false
ths;64;false;false
ths;65;false;false
ths;66;false;false
ths;67;false;false
ths;68;false;false
ths;69;false;false
ths;70;false;false
ths;71;false;false
ths;72;false;false
ths;73;false;false
ths;74;false;false
ths;75;false;false
ths;76;false;false
ths;77;false;false
ths;78;false;false
ths;79;false;false
ths;80;false;false
ths;81;false;false
ths;82;false;false
ths;83;false;false
ths;84;false;false
ths;85;false;false
ths;86;false;false
ths;87;false;false
ths;88;false;false
ths;89;false;false
ths;90;false;false
ths;91;false;false
ths;92;false;false
ths;93;false;false
ths;94;false;false
ths;95;false;false
ths;96;false;false
ths;97;false;false
ths;98;false;false
ths;99;false;false
ths;100;false;false
ths;101;false;false
ths;102;false;false
ths;103;false;false
ths;104;false;false
ths;105;false;false
ths;106;false;false
ths;107;false;false
ths;108;false;false
ths;109;false;false
ths;110;false;false
ths;111;false;false
ths;112;false;false
ths;113;false;false
ths;114;false;false
ths;115;false;false
ths;116;false;false
ths;117;false;false
ths;118;false;false
ths;119;false;false
ths;120;false;false
ths;121;false;false
ths;122;false;false
ths;123;false;false
ths;124;false;false
ths;125;false;false
ths;126;false;false
ths;127;false;false
ths;128;false;false
ths;129;false;false
ths;130;false;false
ths;131;false;false
ths;132;false;false
ths;133;false;false
ths;134;false;false
ths;135;false;false
ths;136;false;false
ths;137;false;false
ths;138;false;false
ths;139;false;false
ths;140;false;false
ths;141;false;false
ths;142;false;false
ths;143;false;false
ths;144;false;false
ths;145;false;false
ths;146;false;false
ths;147;false;false
ths;148;false;false
ths;149;false;false
ths;150;false;false
ths;151;false;false
ths;152;false;false
ths;153;false;false
ths;154;false;false
ths;155;false;false
ths;156;false;false
ths;157;false;false
ths;158;false;false
ths;159;false;false
ths;160;false;false
ths;161;false;false
ths;162;false;false
ths;163;false;false
ths;164;false;false
ths;165;false;false
ths;166;false;false
ths;167;false;false
ths;168;false;false
ths;169;false;false
ths;170;false;false
ths;171;false;false
ths;172;false;false
ths;173;false;false
ths;174;false;false
ths;175;false;false
ths;176;false;false
ths;177;false;false
ths;178;false;false
ths;179;false;false
ths;180;false;false
ths;181;false;false
ths;182;false;false
ths;183;false;false
ths;184;false;false
ths;185;false;false
ths;186;false;false
ths;187;false;false
ths;188;false;false
ths;189;false;false
ths;190;false;false
ths;191;false;false
ths;192;false;false
ths;193;false;false
ths;194;false;false
ths;195;false;false
ths;196;false;false
ths;197;false;false
ths;198;false;false
ths;199;false;false
ths;200;false;false
ths;201;false;false
ths;202;false;false
ths;203;false;false
ths;204;false;false
ths;205;false;false
ths;206;false;false
ths;207;false;false
ths;208;false;false
ths;209;false;false
ths;210;false;false
ths;211;false;false
ths;212;false;false
ths;213;false;false
ths;214;false;false
ths;215;false;false
ths;216;false;false
ths;217;false;false
ths;218;false;false
ths;219;false;false
ths;220;false;false
ths;221;false;false
ths;222;false;false
ths;223;false;false
ths;224;false;false
ths;225;false;false
ths;226;false;false
ths;227;false;false
ths;228;false;false
ths;229;false;false
ths;230;false;false
ths;231;false;false
ths;232;false;false
ths;233;false;false
ths;234;false;false
ths;235;false;false
ths;236;false;false
ths;237;false;false
ths;238;false;false
ths;239;false;false
ths;240;false;false
ths;241;false;false
ths;242;false;false
ths;243;false;false
ths;244;false;false
ths;245;false;false
ths;246;false;false
ths;247;false;false
ths;248;false;false
ths;249;false;false
