set;number;no_foil;foil
tinr;1;false;false
tinr;2;false;false
tinr;3;false;false
tinr;4;false;false
tinr;5;false;false
tinr;6;false;false
tinr;7;false;false
tinr;8;false;false
tinr;9;false;false
tinr;10;false;false
tinr;11;false;false
tinr;12;false;false
tinr;13;false;false
tinr;14;false;false
tinr;15;false;false
tinr;16;false;false
tinr;17;false;false
tinr;18;false;false
tinr;19;false;false
tinr;20;false;false
tinr;21;false;false
tinr;22;false;false
tinr;23;false;false
tinr;24;false;false
tinr;25;false;false
tinr;26;false;false
tinr;27;false;false
