set;number;no_foil;foil
tltr;1;false;false
tltr;2;false;false
tltr;3;false;false
tltr;4;false;false
tltr;5;false;false
tltr;6;false;false
tltr;7;false;false
tltr;8;false;false
tltr;9;false;false
tltr;10;false;false
tltr;11;false;false
tltr;12;false;false
tltr;H13;false;false
tltr;14;false;false
tltr;15;false;false
tltr;16;false;false
tltr;17;false;false
tltr;18;false;false
tltr;19;false;false
tltr;20;false;false
tltr;21;false;false
tltr;22;false;false
tltr;23;false;false
tltr;24;false;false
tltr;25;false;false
