set;number;no_foil;foil
tm3c;1;false;false
tm3c;2;false;false
tm3c;3;false;false
tm3c;4;false;false
tm3c;5;false;false
tm3c;6;false;false
tm3c;7;false;false
tm3c;8;false;false
tm3c;9;false;false
tm3c;10;false;false
tm3c;11;false;false
tm3c;12;false;false
tm3c;13;false;false
tm3c;14;false;false
tm3c;15;false;false
tm3c;16;false;false
tm3c;17;false;false
tm3c;18;false;false
tm3c;19;false;false
tm3c;20;false;false
tm3c;21;false;false
tm3c;22;false;false
tm3c;23;false;false
tm3c;24;false;false
tm3c;25;false;false
tm3c;26;false;false
tm3c;27;false;false
tm3c;28;false;false
