set;number;no_foil;foil
tmkc;1;false;false
tmkc;2;false;false
tmkc;3;false;false
tmkc;4;false;false
tmkc;5;false;false
tmkc;6;false;false
tmkc;7;false;false
tmkc;8;false;false
tmkc;9;false;false
tmkc;10;false;false
tmkc;11;false;false
tmkc;12;false;false
tmkc;13;false;false
tmkc;14;false;false
tmkc;15;false;false
tmkc;16;false;false
tmkc;17;false;false
tmkc;18;false;false
tmkc;19;false;false
tmkc;20;false;false
tmkc;21;false;false
tmkc;22;false;false
tmkc;23;false;false
tmkc;24;false;false
tmkc;25;false;false
tmkc;26;false;false
tmkc;27;false;false
tmkc;28;false;false
tmkc;29;false;false
tmkc;30;false;false
tmkc;31;false;false
